N	3gram	Losev_Dial	Formalny
1	с точки зрения	18	40
2	не может быть	4	29
3	на самом деле	3	21
4	то же время	8	20
5	в то же	7	20
6	и т д	28	19
7	и т п	3	18
8	во всяком случае	3	16
9	в связи с	3	16
10	в самом деле	3	11
11	в этом отношении	2	11
12	в зависимости от	2	10
13	с другой стороны	7	9
14	до сих пор	4	8
15	с одной стороны	3	8
16	более или менее	5	7
17	сами по себе	4	7
18	и в этом	4	7
19	сам по себе	8	6
20	может быть и	6	6
21	и в то	3	6
22	в том что	12	6
23	связи с этим	2	5
24	в этом смысле	4	5
25	одной стороны и	3	5
26	как бы ни	2	5
27	к тому что	3	5
28	бы она ни	2	4
29	в конце концов	4	4
30	с самого начала	2	4
31	тем не менее	3	4
32	в нем и	2	4
33	не в том	2	4
34	сама по себе	12	4
35	но все же	2	4
36	то и другое	3	3
37	то же самое	3	3
38	и то и	3	3
39	т е в	3	3
40	ровно ничего не	3	3
41	то или иное	4	3
42	друг с другом	2	3
43	только то что	6	3
44	потому что он	5	3
45	мы уже знаем	4	3
46	точки зрения самого	2	3
47	уже знаем что	2	3
48	на самом же	2	3
49	так или иначе	3	3
50	в том смысле	4	3
51	самом же деле	2	3
52	и в частности	4	3
53	в виду что	2	2
54	вовсе не в	3	2
55	в широком смысле	2	2
56	иметь в виду	4	2
57	вовсе не есть	3	2
58	тем или другим	2	2
59	ничего общего с	3	2
60	может быть только	2	2
61	не может и	3	2
62	не выходя за	2	2
63	как один из	2	2
64	не потому что	5	2
65	или хотя бы	2	2
66	по себе а	2	2
67	и ни на	2	2
68	в таком случае	2	2
69	не только в	2	2
70	ни в чем	2	2
71	том смысле что	3	2
72	может и не	2	2
73	что в нем	4	2
74	так как и	2	2
