N	3gram	Losev_Vesc	KulturaY
1	и т д	36	42
2	для того чтобы	2	38
3	с точки зрения	6	36
4	в том что	9	33
5	в самом деле	7	29
6	можно было бы	3	25
7	во всяком случае	2	19
8	тем не менее	11	19
9	с другой стороны	3	17
10	в том чтобы	2	14
11	по крайней мере	10	13
12	в этом отношении	2	11
13	не может быть	22	11
14	о том что	4	10
15	в этом смысле	2	10
16	вместе с тем	3	9
17	не только в	5	8
18	само по себе	4	8
19	с одной стороны	3	7
20	и тем не	5	7
21	в свою очередь	5	7
22	в то же	5	6
23	было бы сказать	2	6
24	хотя бы и	2	6
25	только тогда когда	2	6
26	этой точки зрения	3	6
27	то же время	4	6
28	в свое время	2	6
29	но все же	2	5
30	т е в	7	5
31	более или менее	4	5
32	можно говорить о	2	5
33	в данном случае	2	5
34	и в этом	2	5
35	с этой точки	3	5
36	хотя бы в	2	5
37	не потому что	5	5
38	сам по себе	4	4
39	в первом случае	2	4
40	том что он	2	4
41	т е на	2	4
42	т д и	11	4
43	бы сказать что	2	4
44	заключается в том	3	4
45	так же как	2	4
46	к тому что	2	4
47	на то что	7	4
48	так или иначе	5	4
49	только то что	3	4
50	д и т	10	4
51	от того что	4	3
52	в то время	4	3
53	о том как	4	3
54	как раз и	2	3
55	в конце концов	2	3
56	тех или иных	2	3
57	уже не может	3	3
58	сама по себе	7	3
59	и не в	3	3
60	нужно было бы	2	3
61	бы то ни	12	2
62	я мог бы	5	2
63	и то же	5	2
64	не что иное	12	2
65	в применении к	2	2
66	только о том	2	2
67	нельзя было бы	2	2
68	потому что они	4	2
69	из того что	3	2
70	а следовательно и	2	2
71	у нас в	2	2
72	и еще один	2	2
73	ни в каком	6	2
74	что же такое	4	2
75	ничего не значит	2	2
76	но что такое	4	2
77	что в ней	3	2
78	в каком-то отношении	2	2
79	а так как	2	2
80	в собственном смысле	3	2
81	я и хочу	2	2
82	то что мы	3	2
83	что мы имеем	2	2
84	что иное как	12	2
85	т е не	5	2
86	может быть только	6	2
87	но если это	3	2
88	что она есть	3	2
89	это и значит	4	2
90	можно сказать что	3	2
91	но даже и	2	2
92	сами по себе	3	2
93	и в то	3	2
94	по природе своей	2	2
95	в той или	2	2
96	по сравнению с	7	2
97	потому что я	2	2
