N	2gram	Berdyaev_O	Formalny
1	и в	19	95
2	т е	4	94
3	и не	13	78
4	может быть	11	66
5	в этом	12	61
6	не может	4	57
7	и его	4	51
8	так и	2	50
9	в нем	10	42
10	в его	7	42
11	прежде всего	9	41
12	как и	6	39
13	не в	11	35
14	в самом	5	35
15	а не	11	34
16	но и	13	33
17	не только	11	30
18	в том	5	26
19	то что	5	25
20	в своей	2	24
21	лишь в	7	24
22	было бы	3	23
23	и ее	3	22
24	в истории	2	21
25	как бы	3	21
26	что в	4	21
27	и с	2	21
28	и от	3	20
29	с тем	2	20
30	не могут	3	19
31	все это	6	19
32	хотя бы	3	19
33	по себе	2	19
34	все же	2	18
35	и все	10	18
36	все эти	4	18
37	с его	4	18
38	потому что	9	16
39	его в	2	15
40	но в	2	15
41	так как	2	15
42	должно быть	2	15
43	и на	2	15
44	что он	3	14
45	в ее	2	14
46	в своем	2	14
47	еще не	3	14
48	в этой	5	14
49	и потому	2	14
50	в единстве	2	14
51	до конца	7	13
52	того что	3	13
53	а в	5	13
54	что же	2	13
55	могут быть	3	13
56	что и	2	13
57	тем что	2	13
58	того чтобы	4	12
59	и для	2	12
60	никогда не	9	11
61	что они	2	11
62	для него	5	11
63	не есть	2	10
64	не было	9	10
65	в своих	3	10
66	он не	7	10
67	ничего не	2	9
68	совсем не	2	9
69	это не	3	8
70	в других	2	8
71	и к	2	8
72	для того	3	8
73	том что	2	7
74	в себе	3	7
75	как к	2	7
76	даже и	2	7
77	сказать что	2	7
78	к этому	2	7
79	жизни в	2	7
80	только и	4	7
81	в которой	2	6
82	отношение к	5	6
83	в россии	5	6
84	в этих	3	6
85	его не	2	6
86	он был	8	6
87	ее в	2	6
88	о том	3	6
89	уже в	2	6
90	с ним	3	6
91	учение о	2	6
92	должен был	2	5
93	всего в	2	5
94	что не	4	5
95	хотя и	2	5
96	и то	2	5
97	к нему	3	5
98	не имеет	2	5
99	в самой	9	5
100	вопрос о	10	5
101	от него	7	4
102	он в	2	4
103	к этой	2	4
104	к ней	2	4
105	и о	2	4
106	на западе	2	4
107	есть лишь	4	4
108	что для	2	4
109	и этим	2	4
110	вместо того	2	4
111	все в	4	4
112	из всего	2	3
113	так что	2	3
114	подойти к	2	3
115	это было	3	3
116	заложенных в	2	3
117	и из	2	3
118	ничто не	2	3
119	когда он	3	3
120	в самую	4	3
121	и очень	2	3
122	человек не	7	3
123	для всякого	2	3
124	но он	7	3
125	человека в	11	2
126	человека и	10	2
127	в другом	2	2
128	ведь это	2	2
129	не могли	2	2
130	ко всем	2	2
131	и ни	2	2
132	никто не	3	2
133	и нет	2	2
134	же это	2	2
135	в душе	2	2
136	что человек	3	2
137	в этот	2	2
138	и вот	3	2
139	как художник	3	2
140	на земле	4	2
141	ни с	7	2
142	их не	2	2
143	возможностей и	2	2
144	все что	3	2
145	и есть	3	2
146	момент в	2	2
147	чем в	2	2
