N	2gram	Losev_Vesc	KulturaY
1	и т	37	143
2	т е	79	102
3	и в	44	84
4	в том	15	74
5	потому что	25	68
6	не только	48	60
7	точки зрения	10	59
8	в этом	17	57
9	было бы	24	53
10	и не	57	52
11	может быть	37	47
12	том что	13	44
13	того чтобы	4	44
14	что в	11	44
15	т д	36	42
16	для того	3	41
17	в самом	13	41
18	у нас	9	38
19	самом деле	7	37
20	хотя бы	9	37
21	так как	17	36
22	с точки	6	36
23	таким образом	16	33
24	а не	34	33
25	можно было	6	32
26	если бы	8	32
27	не в	14	30
28	прежде всего	17	30
29	в его	5	30
30	и пр	10	30
31	все же	18	29
32	того что	16	28
33	не менее	11	28
34	все эти	5	28
35	в силу	4	26
36	уже не	15	26
37	не может	44	25
38	то что	47	25
39	вовсе не	11	25
40	вопрос о	6	24
41	еще не	12	24
42	с другой	8	24
43	так и	4	23
44	то же	12	23
45	только в	23	23
46	тем не	11	21
47	во всяком	4	20
48	но и	19	20
49	по себе	22	20
50	и что	22	20
51	что он	7	19
52	но в	8	19
53	тем что	7	19
54	о том	11	19
55	всяком случае	2	19
56	что же	17	19
57	все это	7	18
58	в качестве	4	18
59	к тому	3	18
60	с тем	8	18
61	в сущности	7	18
62	как бы	19	18
63	и с	11	18
64	вместе с	4	18
65	это не	9	17
66	как раз	16	17
67	как это	4	17
68	можно говорить	2	17
69	что это	18	17
70	другой стороны	3	17
71	в той	6	17
72	слова и	7	17
73	в виду	2	16
74	ничего не	12	16
75	что не	11	16
76	что и	11	16
77	тот же	4	16
78	но не	9	16
79	и тем	7	15
80	один из	5	15
81	а в	6	15
82	в данном	6	15
83	должно быть	8	15
84	ни к	3	15
85	том чтобы	2	15
86	именно в	2	15
87	не было	4	15
88	хотя и	5	14
89	я не	7	14
90	как мы	6	14
91	сказать что	21	14
92	мы имеем	8	14
93	также и	9	14
94	что такое	20	14
95	если мы	12	14
96	и на	2	14
97	в ней	14	14
98	это и	12	13
99	по существу	3	13
100	между прочим	4	13
101	крайней мере	10	13
102	что она	23	13
103	по крайней	10	13
104	не случайно	2	13
105	в этой	4	13
106	для нас	2	13
107	и его	4	13
108	той же	2	13
109	этот вопрос	6	12
110	для этого	5	12
111	вопроса о	3	12
112	с этой	6	12
113	как в	3	12
114	а только	3	12
115	того же	5	12
116	тогда когда	5	12
117	в результате	9	12
118	язык есть	2	12
119	говорить о	9	12
120	однако не	4	12
121	ясно что	10	12
122	еще и	11	11
123	должен быть	5	11
124	в их	4	11
125	в своем	9	11
126	языка как	2	11
127	на себе	5	11
128	должна быть	8	11
129	в нем	6	11
130	этом отношении	2	11
131	совершенно не	11	11
132	и здесь	5	11
133	и то	14	11
134	слова в	2	11
135	и если	5	11
136	уже в	2	11
137	он не	4	11
138	в каком	6	10
139	тем самым	2	10
140	так же	4	10
141	в то	11	10
142	к этому	2	10
143	со стороны	9	10
144	как и	15	10
145	ту же	2	10
146	бы и	9	10
147	с этим	4	10
148	тем более	3	10
149	бы в	9	10
150	несмотря на	6	10
151	в особенности	3	10
152	от того	7	10
153	в первом	2	10
154	этом смысле	2	10
155	конечно не	2	10
156	не просто	23	10
157	очевидно что	2	9
158	не потому	7	9
159	то мы	3	9
160	в целом	3	9
161	здесь не	2	9
162	что все	2	9
163	и для	13	9
164	в своей	6	9
165	можно сказать	8	9
166	но это	14	9
167	в которой	5	9
168	но уже	3	9
169	и вот	4	9
170	не имеет	2	9
