N	3gram	Nazirov_Tv	FransuaR
1	в то же	19	55
2	то же время	18	55
3	мы уже говорили	2	43
4	в том что	8	27
5	но в то	5	20
6	о том что	6	17
7	в связи с	2	16
8	в ту эпоху	2	14
9	на самом деле	2	13
10	не может быть	2	13
11	дело в том	4	13
12	в известной мере	2	12
13	с другой стороны	2	12
14	и в то	3	12
15	можно сказать что	2	11
16	в отличие от	2	11
17	в данном случае	2	10
18	как и в	2	10
19	не только в	2	10
20	по отношению к	3	9
21	так и в	2	9
22	на протяжении всего	2	8
23	в самом деле	2	7
24	это прежде всего	3	6
25	с самого начала	3	6
26	в xix веке	3	6
27	в свою очередь	2	6
28	во всяком случае	2	5
29	в одной из	4	5
30	в том же	3	5
31	на первом плане	2	5
32	это как бы	3	5
33	в году в	3	4
34	в одном из	2	4
35	и не может	2	4
36	это уже не	2	4
37	на этот вопрос	2	4
38	том что в	3	4
39	в первой части	3	4
40	но это не	2	3
41	что все это	3	3
42	является одним из	3	3
43	там же с	10	2
44	не могут быть	2	2
45	в конечном счете	4	2
46	и та же	2	2
47	же время он	2	2
48	он еще не	2	2
49	в известном смысле	2	2
50	что у него	2	2
51	мы узнаем что	2	2
