N	3gram	Voloshinov	Hudozhes
1	по отношению к	9	10
2	в том что	9	8
3	в то же	7	7
4	в отличие от	7	7
5	то же время	7	7
6	с другой стороны	6	6
7	более или менее	3	6
8	для того чтобы	7	5
9	той или иной	5	5
10	так или иначе	2	4
11	того или иного	2	4
12	не может быть	23	4
13	одно и то	3	3
14	тот или иной	2	3
15	и то же	3	3
16	с точки зрения	31	3
17	с одной стороны	2	3
18	в том числе	3	3
19	тем не менее	3	3
20	в этом смысле	2	3
21	в связи с	12	3
22	можно сказать что	4	3
23	и того же	9	3
24	отношение знака к	2	3
25	одного и того	9	3
26	в знаковом материале	2	3
27	всех без исключения	5	3
28	то ни было	11	2
29	и прежде всего	4	2
30	бы то ни	11	2
31	до известной степени	2	2
32	в коем случае	2	2
33	в противном случае	2	2
34	в таком случае	5	2
35	в данный момент	2	2
36	том числе и	3	2
37	в данном контексте	3	2
38	в самом деле	13	2
39	в значительной степени	3	2
40	том что он	3	2
41	к тому что	4	2
42	может быть и	8	2
43	ни в коем	2	2
44	сама по себе	2	2
45	в свою очередь	5	2
46	в отношении к	7	2
47	в той или	3	2
