N	3gram	Nazirov_Tv	Istorich
1	и т д	10	142
2	с другой стороны	2	46
3	в том что	8	25
4	не может быть	2	24
5	тем не менее	2	23
6	точно так же	3	22
7	о том что	6	22
8	не только в	2	19
9	в связи с	2	17
10	в данном случае	2	15
11	по отношению к	3	14
12	как и в	2	10
13	на этот вопрос	2	8
14	что у него	2	8
15	во всяком случае	2	7
16	с самого начала	3	6
17	но это не	2	6
18	на самом деле	2	5
19	так и в	2	5
20	в отличие от	2	5
21	том что в	3	5
22	в свою противоположность	2	4
23	в этой связи	2	4
24	влечет за собой	2	4
25	можно сказать что	2	4
26	сами по себе	2	4
27	в одной из	4	4
28	не означает что	2	4
29	мы уже говорили	2	3
30	дело в том	4	3
31	в одном из	2	3
32	в соответствии с	7	3
33	в самом деле	2	2
34	не значит что	2	2
35	при этом он	2	2
36	не могут быть	2	2
37	это не значит	2	2
38	и не может	2	2
39	это уже не	2	2
40	и т п	4	2
41	если не считать	2	2
42	то это означало	2	2
43	может быть назван	2	2
44	в таком случае	2	2
45	в свою очередь	2	2
46	а может быть	2	2
