N	2gram	Losev_Prob	Freidism
1	и не	63	34
2	таким образом	9	34
3	точки зрения	5	31
4	не может	18	30
5	и пр	4	29
6	может быть	29	28
7	и в	64	28
8	в этом	30	28
9	прежде всего	17	26
10	в его	12	25
11	и его	3	22
12	мы можем	8	20
13	как бы	18	19
14	как мы	10	18
15	то что	72	17
16	вовсе не	60	16
17	так как	16	15
18	с точки	3	15
19	все эти	15	15
20	самом деле	10	14
21	так и	17	14
22	в своей	8	14
23	с ним	4	14
24	во всех	9	13
25	и все	9	13
26	но в	19	13
27	как и	7	13
28	и потому	3	12
29	том что	26	12
30	то же	10	12
31	что он	11	12
32	ни в	13	12
33	в самом	10	12
34	и наконец	3	12
35	для него	2	12
36	все это	11	12
37	сказать что	33	11
38	его в	9	11
39	только в	19	11
40	никогда не	8	10
41	и с	12	10
42	за пределы	6	10
43	не только	37	10
44	но и	23	10
45	не в	6	10
46	он не	5	10
47	в том	19	10
48	мы уже	8	10
49	все что	2	10
50	один из	7	10
51	что же	18	10
52	тот же	4	10
53	конечно не	3	10
54	мы должны	5	9
55	могут быть	2	9
56	совершенно не	7	9
57	и др	2	9
58	к нему	5	9
59	в чем	3	9
60	уже не	9	9
61	и на	11	9
62	мы не	6	9
63	а не	21	9
64	во всяком	18	9
65	с его	3	9
66	все же	7	8
67	с этим	7	8
68	было бы	16	8
69	оно и	3	8
70	еще не	18	8
71	с другими	6	8
72	а в	7	8
73	знаем что	2	8
74	всяком случае	11	8
75	при этом	8	8
76	в каком	7	7
77	не могут	6	7
78	в жизни	3	7
79	в то	7	7
80	в себе	16	7
81	что в	21	7
82	и ее	9	7
83	хотя бы	15	7
84	и для	10	7
85	быть и	5	7
86	роль в	2	7
87	я и	2	7
88	не является	12	7
89	того что	18	7
90	но не	13	7
91	что все	9	7
92	с самого	3	7
93	об этом	10	7
94	в нем	14	7
95	если мы	16	7
96	и к	2	7
97	из них	3	7
98	сознания с	2	7
99	в этой	14	7
100	одно из	2	6
101	на самом	9	6
102	для этого	5	6
103	но мы	3	6
104	мы имеем	3	6
105	из этих	5	6
106	всех этих	11	6
107	сознания и	4	6
108	не менее	26	6
109	для того	10	6
110	в таком	18	6
111	и только	7	6
112	и о	11	6
113	в пределах	2	6
114	в корне	2	6
115	она не	5	6
116	к тому	5	6
117	не можем	2	6
