N	2gram	Kanaev_Sov	FransuaR
1	и в	7	367
2	в этом	7	112
3	и не	6	101
4	таким образом	11	100
5	в его	2	98
6	прежде всего	5	92
7	не только	4	87
8	как бы	4	82
9	все эти	5	79
10	как и	6	76
11	в нем	3	75
12	но в	3	75
13	в том	4	71
14	как мы	2	71
15	то же	3	66
16	и все	3	66
17	в этой	3	65
18	все это	3	62
19	что в	2	52
20	так как	4	46
21	жизни и	4	40
22	у него	2	40
23	в самом	2	38
24	точки зрения	12	37
25	может быть	12	35
26	мы видим	2	35
27	и даже	2	34
28	в себе	3	34
29	в конце	3	32
30	мы видели	4	32
31	и потому	3	30
32	той же	2	30
33	не может	17	29
34	еще не	3	29
35	не в	3	29
36	при этом	3	29
37	в одном	3	29
38	из них	4	28
39	и к	3	28
40	роль в	2	27
41	все же	3	27
42	в условиях	5	26
43	с помощью	4	25
44	в области	3	25
45	времени и	2	24
46	так сказать	2	23
47	это не	4	23
48	и во	2	22
49	а в	4	22
50	вместе с	4	22
51	что это	2	21
52	и наконец	5	21
53	уже в	3	21
54	с точки	5	20
55	самом деле	2	20
56	в дальнейшем	4	19
57	их в	4	19
58	было бы	3	19
59	со всеми	2	18
60	на этом	2	18
61	одна из	3	18
62	но все	2	17
63	в результате	6	17
64	на его	2	17
65	еще более	2	17
66	такой же	2	17
67	а не	3	17
68	тот же	2	16
69	не подлежит	3	16
70	ничего не	6	16
71	с одной	2	16
72	в нашем	2	15
73	в которой	2	15
74	из этих	2	15
75	мы не	9	14
76	и по	2	14
77	как он	3	13
78	отличие от	2	13
79	что все	2	13
80	на этой	3	13
81	с этим	2	13
82	и есть	2	13
83	у нас	3	12
84	не могут	2	12
85	он в	3	12
86	уже не	2	11
87	и что	2	11
88	в системе	3	11
89	и т.д	3	11
90	в отличие	2	11
91	и они	2	10
92	или иной	2	10
93	на котором	2	10
94	на этот	2	10
95	в целом	4	10
96	как известно	2	9
97	для нас	3	9
98	ведь это	3	9
99	конечно в	2	9
100	мы можем	6	9
101	с самого	3	8
102	значение в	2	8
103	все те	2	8
104	видели что	3	8
105	не менее	2	8
106	не будем	2	7
107	точку зрения	4	7
108	в свою	2	7
109	в виде	2	7
110	во всяком	2	7
111	из которых	2	7
112	в таком	2	7
113	между всеми	2	7
114	в развитии	4	7
115	в настоящее	2	7
116	а на	2	7
117	настоящее время	2	7
118	в некоторых	2	7
119	нет и	4	7
120	подлежит сомнению	2	7
121	такого рода	2	6
122	свою очередь	2	6
123	мы знаем	2	6
124	на их	2	6
125	он может	3	6
126	не дает	2	6
127	могут быть	2	6
128	что она	3	6
129	совершенно не	2	6
130	в один	2	6
131	самого начала	3	6
132	его развития	3	6
133	дает нам	2	6
134	тем же	2	6
135	рот и	2	6
136	и пр	2	6
137	говорить о	2	6
138	но мы	3	5
139	в первом	3	5
140	друг с	2	5
141	для его	2	5
142	с другом	2	5
143	у всех	3	5
144	если мы	4	5
145	всяком случае	2	5
146	же самое	2	5
147	из одного	2	5
148	в каждом	8	4
149	состоит из	3	4
150	он должен	2	4
151	же мы	2	4
152	которой он	2	4
153	в стадии	5	4
154	ее на	2	4
155	если же	2	4
156	и именно	2	4
157	в третьем	2	4
158	быть и	2	4
159	или же	2	4
160	каждый раз	6	4
161	знаем что	2	4
162	в новых	2	3
163	в наших	3	3
164	не знаем	2	3
165	в которую	2	3
166	же это	4	3
167	такие же	2	3
168	в живом	2	3
169	между собой	3	3
170	то ни	2	3
171	на другом	2	3
172	ясно что	3	3
173	на две	3	3
174	и мы	3	3
175	приводит к	2	3
176	этих двух	2	3
177	мы должны	4	2
178	развития в	2	2
179	для развития	2	2
180	из четырех	2	2
181	только один	2	2
182	при таком	3	2
183	что такое	2	2
184	своим особым	2	2
185	с общим	2	2
186	в науке	2	2
187	момент времени	3	2
188	может иметь	2	2
189	мы называем	3	2
190	отличается от	3	2
191	с совершенно	2	2
192	само собою	3	2
193	не можем	7	2
194	помощью которых	2	2
195	поэтому мы	3	2
196	некоторое время	2	2
197	который как	2	2
198	что при	2	2
