N	2gram	Potebnia_M	PoTuStor
1	может быть	46	17
2	и в	48	16
3	мы можем	13	9
4	и проч	25	9
5	в этом	19	9
6	и только	5	9
7	таким образом	24	9
8	прежде всего	6	9
9	и с	4	8
10	точки зрения	4	8
11	не может	18	8
12	и его	4	8
13	сказать что	8	7
14	не только	32	7
15	в сознание	16	7
16	и это	6	6
17	с точки	3	6
18	конечно не	2	6
19	самом деле	5	6
20	я и	3	6
21	и к	5	6
22	для него	14	6
23	при этом	6	6
24	ни в	2	5
25	что такое	2	5
26	как бы	10	5
27	только для	3	5
28	еще не	9	5
29	до сознания	2	5
30	в чем	6	5
31	сознание и	5	5
32	отношение к	2	5
33	как мы	8	4
34	и на	5	4
35	все это	4	4
36	на самом	4	4
37	его в	6	4
38	в его	6	4
39	но и	30	4
40	и не	28	4
41	и все	5	4
42	но в	8	4
43	в этой	3	4
44	но мы	3	4
45	и наконец	3	4
46	так как	20	4
47	и их	4	4
48	все что	4	4
49	и может	4	4
50	только в	29	4
51	в нем	16	4
52	а потому	8	4
53	хотя бы	3	4
54	с ними	6	4
55	можно сказать	4	4
56	так и	17	4
57	в один	4	4
58	мысли и	8	4
59	и даже	3	4
60	что в	30	3
61	и притом	3	3
62	даже не	2	3
63	представлений и	5	3
64	жизни и	3	3
65	и оно	3	3
66	и теперь	6	3
67	и как	8	3
68	и потому	9	3
69	а в	14	3
70	в том	47	3
71	их в	3	3
72	с другими	9	3
73	между ними	4	3
74	в области	3	3
75	те же	6	3
76	для сознания	5	3
77	до сих	4	3
78	только на	4	3
79	крайней мере	8	3
80	с сознанием	2	3
81	и есть	4	3
82	во время	4	3
83	но оно	6	3
84	большинстве случаев	2	3
85	в большинстве	2	3
86	в этих	2	3
87	отношения к	2	3
88	то что	37	3
89	только как	9	3
90	если б	9	3
91	по крайней	8	3
92	могут быть	6	3
93	сих пор	4	3
94	всяком случае	3	3
95	вместе с	22	3
96	в одном	4	3
97	этом смысле	2	3
98	во всяком	4	3
99	и значение	2	3
100	том что	28	3
101	один из	7	2
102	никогда не	2	2
103	для нас	40	2
104	все остальные	3	2
105	что мы	16	2
106	по своему	2	2
107	мы видим	3	2
108	есть и	3	2
109	с нею	5	2
110	на них	2	2
111	в них	9	2
112	не можем	8	2
113	кажется что	3	2
114	в каком	8	2
115	понятия и	3	2
116	к ним	3	2
117	в одно	8	2
118	и вообще	4	2
119	и содержание	2	2
120	совсем не	2	2
121	что не	12	2
122	нам кажется	7	2
123	все то	3	2
124	что это	6	2
125	из сказанного	3	2
126	другими словами	3	2
127	нашего времени	2	2
128	и по	5	2
129	таким путем	2	2
130	что и	16	2
131	не менее	9	2
132	ее в	2	2
133	не существует	5	2
134	и мы	3	2
135	было бы	16	2
136	не могут	7	2
137	в систему	2	2
138	и других	3	2
139	чувства и	5	2
140	о том	7	2
141	можно назвать	2	2
142	то же	35	2
143	с этим	12	2
144	как и	22	2
145	что он	8	2
146	так же	6	2
147	говорить о	6	2
148	образов и	2	2
149	того же	5	2
150	в науке	3	2
151	в своей	2	2
152	мы не	17	2
153	себя и	4	2
154	ни было	2	2
155	из этих	10	2
156	но как	2	2
157	в самом	11	2
158	находится в	5	2
159	и говорить	2	2
160	в начале	3	2
161	с этой	2	2
162	а может	2	2
163	в свое	2	2
164	сознания и	2	2
165	он не	4	2
166	в голову	3	2
167	у него	3	2
168	это последнее	4	2
169	между собою	13	2
170	для меня	5	2
171	если мы	2	2
172	при всей	2	2
173	и о	6	2
174	оно не	7	2
175	не есть	24	2
176	к другим	4	2
177	в душе	17	2
178	за пределы	2	2
179	к этому	3	2
180	что на	3	2
181	нет и	2	2
182	не знает	4	2
183	что оно	12	2
184	быть может	7	2
185	есть в	6	2
186	мы уже	5	2
187	не будет	4	2
188	с ним	10	2
189	но это	9	2
