N	2gram	Losev_Vlad	SlovoVZh
1	не может	12	16
2	точки зрения	4	14
3	может быть	12	14
4	и его	12	13
5	как бы	5	13
6	и в	56	12
7	таким образом	6	12
8	в нашем	5	11
9	и не	33	10
10	так как	11	9
11	если бы	2	9
12	прежде всего	5	8
13	для нас	9	7
14	сказать что	14	7
15	при этом	5	6
16	в том	26	6
17	в нем	7	6
18	только в	11	6
19	в ней	5	6
20	никогда не	15	5
21	как в	6	5
22	что мы	2	5
23	в жизни	4	5
24	можно сказать	10	5
25	но в	19	5
26	том что	22	5
27	то же	10	5
28	как и	7	5
29	хотя бы	5	5
30	а не	5	5
31	то что	30	5
32	отнюдь не	3	5
33	в самом	3	4
34	в этом	30	4
35	не только	35	4
36	что не	3	4
37	его в	3	4
38	жизни и	8	4
39	не в	12	4
40	с другой	3	4
41	все же	11	4
42	дело в	7	4
43	к нему	6	4
44	за пределы	3	4
45	и к	10	4
46	так и	11	4
47	и на	7	4
48	уже не	6	4
49	от того	2	4
50	литературы и	2	4
51	отношение к	7	4
52	как к	4	3
53	в них	5	3
54	по себе	3	3
55	в каком	3	3
56	и вообще	12	3
57	о том	13	3
58	и для	4	3
59	да и	6	3
60	не к	2	3
61	из этого	6	3
62	ни в	4	3
63	все эти	6	3
64	в котором	10	3
65	бы то	2	3
66	и наконец	2	3
67	то ни	2	3
68	так же	4	3
69	в своей	7	3
70	мы не	2	3
71	конечно не	5	3
72	в себе	5	3
73	еще не	2	3
74	здесь не	6	3
75	все это	7	3
76	только на	3	3
77	когда он	6	3
78	и с	27	3
79	бы мы	2	3
80	не менее	9	3
81	с ним	10	3
82	отношении к	2	3
83	и по	10	3
84	того что	6	3
85	тем не	8	3
86	но и	26	3
87	для него	16	3
88	ясно что	2	3
89	едва ли	3	2
90	в особенности	4	2
91	и то	13	2
92	в его	18	2
93	к его	5	2
94	до конца	8	2
95	и здесь	3	2
96	что в	24	2
97	а к	24	2
98	в отношении	5	2
99	не есть	4	2
100	и притом	5	2
101	как уже	2	2
102	место в	2	2
103	ничего не	4	2
104	с его	15	2
105	что и	6	2
106	это не	3	2
107	и все	8	2
108	кроме того	12	2
109	она не	3	2
110	но все	3	2
111	тому же	3	2
112	в своем	10	2
113	на все	3	2
114	дело с	2	2
115	и вполне	4	2
116	его к	3	2
117	но мы	3	2
118	мы имеем	2	2
119	и что	11	2
120	в то	15	2
121	те же	2	2
122	уже в	9	2
123	с этой	4	2
124	в этих	5	2
125	в основном	5	2
126	и другие	2	2
127	но это	6	2
128	в настоящее	2	2
129	он не	13	2
130	в момент	2	2
131	как на	2	2
132	и потому	8	2
133	его как	2	2
134	но не	5	2
135	как это	11	2
136	на это	2	2
137	в чем	4	2
138	настоящее время	2	2
139	и так	3	2
140	выражение в	2	2
141	к этому	11	2
142	между ними	2	2
143	этих двух	2	2
144	известной степени	2	2
145	но что	5	2
146	но этот	3	2
147	другой стороны	3	2
148	вместе с	9	2
149	но зато	2	2
150	на него	3	2
151	и совершенно	2	2
