N	2gram	Vinokur_Ku	Literetu
1	а не	17	50
2	и не	23	47
3	не только	29	46
4	и в	44	44
5	может быть	25	43
6	при этом	6	41
7	но и	13	41
8	тогда как	2	40
9	в том	47	39
10	в этом	31	38
11	своего рода	4	37
12	том что	30	32
13	в частности	6	30
14	то что	14	29
15	в качестве	12	27
16	в году	3	26
17	состоит в	4	26
18	то же	12	26
19	как и	3	23
20	в то	4	23
21	не в	18	22
22	так и	10	22
23	того что	11	22
24	не может	13	22
25	же время	4	21
26	в себе	4	20
27	прежде всего	14	19
28	я в	2	19
29	как бы	11	18
30	точки зрения	25	17
31	в его	16	17
32	с другой	14	17
33	в этой	8	16
34	тем самым	5	15
35	со стороны	8	15
36	не менее	12	15
37	в целом	5	15
38	я не	5	15
39	только в	15	15
40	по отношению	9	14
41	что он	7	14
42	однако в	2	14
43	в рамках	5	14
44	и даже	5	14
45	в своем	4	13
46	как это	6	13
47	с одной	3	13
48	но не	11	13
49	уже не	13	13
50	и его	8	13
51	всего лишь	3	12
52	к себе	4	12
53	в данном	8	12
54	в своей	4	12
55	а также	3	12
56	еще не	10	12
57	одним из	2	12
58	отношению к	9	12
59	о том	10	12
60	одной стороны	2	12
61	никогда не	2	11
62	данном случае	2	11
63	это не	13	11
64	в другом	2	11
65	отличие от	3	11
66	с его	4	11
67	не столько	2	11
68	как в	6	11
69	в отличие	3	11
70	а в	7	11
71	или иначе	4	11
72	в конечном	3	11
73	столь же	2	11
74	вместе с	8	11
75	даже в	4	10
76	этом отношении	8	10
77	в области	15	10
78	что в	25	10
79	так или	3	10
80	отнюдь не	5	10
81	в ее	2	10
82	конечном счете	2	10
83	из них	4	10
84	и на	8	10
85	потому что	40	10
86	не случайно	7	10
87	в противовес	3	10
88	одно из	3	9
89	к тому	8	9
90	один из	8	9
91	же в	5	9
92	связи с	8	9
93	лишь в	6	9
94	с этой	4	9
95	что я	4	9
96	в конце	5	8
97	ли не	4	8
98	все же	17	8
99	в искусстве	2	8
100	по существу	9	8
101	xix века	5	8
102	но в	11	8
103	того же	6	8
104	уже в	5	8
105	на себя	3	8
106	не говоря	3	8
107	что не	10	8
108	для него	2	8
109	говоря уже	2	8
110	исходит из	2	8
111	и как	3	8
112	слова и	8	8
113	а именно	4	8
114	тем что	9	8
115	в своих	2	8
116	соответствии с	5	8
117	той же	5	8
118	с точки	16	8
119	как раз	10	8
120	до конца	3	7
121	в их	3	7
122	не как	2	7
123	и тем	7	7
124	это как	2	7
125	так в	2	7
126	для этого	6	7
127	другой стороны	12	7
128	и для	3	7
129	по преимуществу	3	7
130	как правило	2	7
131	у нас	19	7
132	именно в	7	7
133	в самом	20	7
134	и с	11	7
135	в одном	4	7
136	в случае	2	7
137	в нем	7	7
138	он не	4	7
139	тому же	2	7
140	на фоне	3	7
141	в сфере	3	7
142	еще и	7	6
143	в виду	7	6
144	казалось бы	5	6
145	самом деле	17	6
146	уже о	2	6
147	и он	4	6
148	было бы	28	6
149	не было	6	6
150	например в	5	6
151	и то	7	6
152	то и	4	6
153	в каждом	3	6
154	как о	2	6
155	разумеется не	5	6
156	далеко не	2	6
157	в ней	6	6
158	и только	2	6
159	у него	3	6
160	как на	4	6
161	как будто	2	6
162	в слове	3	6
163	тем же	2	6
164	все более	2	5
165	в соответствии	6	5
166	или иной	3	5
167	идет о	3	5
168	так как	16	5
169	от себя	3	5
170	так что	5	5
171	не знает	4	5
172	всего в	2	5
173	как я	2	5
174	более того	2	5
175	к этой	3	5
176	во втором	2	5
177	между тем	11	5
178	несмотря на	6	5
179	этой точки	4	5
180	что и	5	5
181	тех кто	2	5
