N	3gram	Tiupa_Lite	Tvorches
1	в то же	12	25
2	то же время	12	24
3	в том что	15	11
4	в соответствии с	2	8
5	о том что	3	8
6	в конечном счете	8	6
7	не может быть	5	6
8	и т п	2	5
9	в русской литературе	5	5
10	по отношению к	4	5
11	в том же	3	5
12	по крайней мере	2	4
13	на наш взгляд	7	4
14	с точки зрения	4	4
15	дело в том	2	4
16	чуть ли не	2	3
17	едва ли не	5	3
18	с другой стороны	5	3
19	во всяком случае	2	3
20	в отличие от	6	3
21	не сводится к	3	2
22	но при этом	2	2
23	тем не менее	4	2
24	не только в	4	2
25	в связи с	4	2
26	том же году	3	2
27	в данном случае	6	2
28	в том числе	2	2
29	только то что	2	2
30	в е годы	3	2
31	в свою очередь	2	2
