N	2gram	Ircho_Kome	Sotsiolo
1	все это	7	7
2	в том	19	5
3	в этом	9	5
4	более чем	4	3
5	не только	12	3
6	в его	8	3
7	не в	8	3
8	и в	40	3
9	отношению к	5	2
10	по отношению	5	2
11	еще не	7	2
12	только в	6	2
13	что в	12	2
14	в частности	7	2
15	том что	19	2
16	было бы	8	2
17	таким образом	13	2
18	то же	7	2
19	как будто	3	2
20	и что	2	2
21	конце концов	4	2
22	к которому	4	2
23	то что	8	2
24	как бы	3	2
25	но и	14	2
26	главным образом	4	2
27	в конце	7	2
28	за пределы	2	2
29	может быть	16	2
30	в результате	5	2
