N	3gram	Vygotskiy_	VeschiIm
1	не может быть	8	24
2	в том что	30	9
3	в самом деле	5	7
4	на то что	9	7
5	сама по себе	3	7
6	по сравнению с	9	7
7	с точки зрения	34	6
8	одно и то	2	5
9	и то же	2	5
10	в то же	2	5
11	подобно тому как	2	5
12	не потому что	2	5
13	в свою очередь	3	5
14	не только не	2	4
15	то время как	4	4
16	этой точки зрения	2	4
17	сам по себе	3	4
18	о том что	10	4
19	в то время	5	4
20	дело в том	2	4
21	есть прежде всего	2	4
22	само по себе	3	4
23	от того что	2	4
24	то же время	2	4
25	мы не можем	3	3
26	из того что	7	3
27	можно сказать что	5	3
28	в собственном смысле	8	3
29	можно было бы	6	3
30	вместе с тем	5	3
31	заключается в том	10	3
32	с одной стороны	14	3
33	только то что	2	3
34	с другой стороны	10	3
35	указывает на то	3	3
36	мы видели что	4	3
37	во всяком случае	5	2
38	бы сказать что	3	2
39	для того чтобы	19	2
40	в этом отношении	6	2
41	том что он	2	2
42	к тому что	3	2
43	на действительность и	2	2
44	то что он	2	2
45	в связи с	3	2
46	то что у	2	2
47	так же как	6	2
48	вопрос о том	2	2
49	друг с другом	6	2
50	только тогда когда	4	2
51	и таким образом	2	2
52	в данном случае	5	2
53	как раз в	3	2
54	в этом смысле	3	2
55	и в частности	3	2
56	в том чтобы	6	2
