N	3gram	Vygotskiy_	Problema
1	о том что	7	39
2	в том что	33	37
3	то же самое	7	30
4	в настоящее время	2	30
5	в связи с	6	29
6	в данном случае	3	28
7	во всяком случае	2	25
8	с точки зрения	12	25
9	с другой стороны	8	25
10	в конце концов	2	23
11	сама по себе	4	21
12	и то что	6	20
13	на то что	5	19
14	в этом смысле	5	19
15	для того чтобы	20	17
16	до сих пор	3	14
17	не что иное	2	14
18	в этом случае	5	14
19	что иное как	2	14
20	на самом деле	3	13
21	ничего общего с	3	13
22	можно было бы	8	13
23	это значит что	4	13
24	не может быть	4	12
25	в то время	4	12
26	можно сказать что	7	12
27	то время как	4	12
28	и в частности	3	12
29	есть не что	2	11
30	с одной стороны	10	11
31	тех или иных	2	11
32	не только не	7	10
33	вместе с тем	4	10
34	только то что	2	10
35	и тем самым	3	10
36	то и другое	2	9
37	только тогда когда	2	8
38	потому что он	7	8
39	никак не может	2	8
40	только в том	2	8
41	заключается в том	12	8
42	с самого начала	8	7
43	в этой области	3	7
44	о том как	3	7
45	когда мы говорим	2	7
46	и тем более	2	6
47	само по себе	2	6
48	на первый план	2	6
49	в самом деле	6	6
50	в этом отношении	7	6
51	не имеют ничего	2	5
52	уже по одному	5	5
53	в собственном смысле	2	5
54	мы могли бы	15	5
55	но если мы	2	5
56	же как и	2	5
57	том что он	3	5
58	в первую очередь	4	5
59	имеют ничего общего	2	5
60	в зависимости от	2	5
61	так же как	9	5
62	в том числе	2	5
63	как мы видели	4	4
64	так что в	2	4
65	вопрос о том	4	4
66	то в чем	5	4
67	этой точки зрения	7	4
68	друг от друга	5	4
69	а с другой	3	4
70	именно потому что	3	4
71	именно то что	3	4
72	но все же	2	4
73	друг к другу	3	4
74	то обстоятельство что	5	4
75	как это мы	2	4
76	в другом случае	2	4
77	подобно тому как	6	4
78	том числе и	2	4
79	мы имеем дело	2	4
80	как мы уже	2	4
81	в том чтобы	3	4
82	от того что	6	3
83	к тому что	5	3
84	чем перейти к	2	3
85	несмотря на то	2	3
86	с этой точки	7	3
87	хотя бы в	2	3
88	к выводу что	3	3
89	одному тому что	2	3
90	прежде чем перейти	2	3
91	в сущности говоря	5	3
92	мы говорим что	2	3
93	одного и того	8	3
94	то что он	3	3
95	именно в этом	3	3
96	таким образом что	2	3
97	в отличие от	3	3
98	одной стороны и	2	3
99	по одному тому	2	3
100	том что в	2	3
101	в известном смысле	7	3
102	не то что	4	3
103	и того же	8	3
104	того что мы	2	3
105	с тем что	3	3
106	по сравнению с	9	3
107	в чем заключается	2	2
108	значит что он	3	2
109	все более и	3	2
110	по отношению к	19	2
111	нам думается что	5	2
112	одной и той	3	2
113	что он не	3	2
114	между собой и	2	2
115	связаны между собой	3	2
116	является одним из	2	2
117	потому что и	2	2
118	мы можем говорить	2	2
119	по одному этому	3	2
120	мы говорим о	2	2
121	и не может	3	2
122	и что в	2	2
123	более и более	3	2
124	в свою очередь	4	2
125	что он должен	2	2
126	друг на друга	2	2
127	мы не можем	2	2
128	как показывает исследование	4	2
129	таким образом в	2	2
130	и тот же	5	2
131	по своей структуре	2	2
132	как мы это	2	2
133	и как они	2	2
134	не может не	3	2
135	а потому что	2	2
136	и той же	3	2
137	но как раз	2	2
138	один из них	2	2
139	это не имеет	2	2
140	один и тот	5	2
141	если принять во	2	2
142	при переходе от	2	2
143	принять во внимание	3	2
144	только в пределах	3	2
