N	2gram	Berdyaev_O	NovoeSre
1	а не	11	17
2	и в	19	16
3	не может	4	16
4	во имя	3	15
5	совсем не	2	12
6	и не	13	11
7	и есть	3	10
8	что в	4	9
9	в том	5	8
10	он не	7	8
11	может быть	11	7
12	как и	6	7
13	в этом	12	7
14	никогда не	9	6
15	лишь в	7	6
16	не в	11	6
17	с его	4	6
18	не только	11	5
19	все это	6	5
20	в нем	10	5
21	и к	2	5
22	должно быть	2	4
23	и для	2	4
24	есть лишь	4	4
25	не имеет	2	4
26	прежде всего	9	4
27	не было	9	4
28	и потому	2	4
29	то что	5	4
30	о том	3	4
31	это не	3	4
32	потому что	9	4
33	и все	10	4
34	быть может	3	4
35	но и	13	3
36	в ее	2	3
37	в россии	5	3
38	жизни в	2	3
39	в своей	2	3
40	еще не	3	3
41	в истории	2	3
42	человека и	10	3
43	не есть	2	3
44	сказать что	2	3
45	вопрос о	10	3
46	это было	3	3
47	с тем	2	3
48	в себе	3	2
49	и с	2	2
50	что все	2	2
51	и от	3	2
52	не могли	2	2
53	того чтобы	4	2
54	хотя бы	3	2
55	свободы и	2	2
56	а в	5	2
57	но в	2	2
58	том что	2	2
59	и на	2	2
60	все эти	4	2
61	жизни все	3	2
62	у него	22	2
63	так и	2	2
64	нем нет	3	2
65	могут быть	3	2
66	хотя и	2	2
67	мысли и	3	2
