N	3gram	Tiupa_Narr	StatiiOP
1	в том что	11	47
2	о том что	3	29
3	в этом отношении	5	24
4	для того чтобы	4	19
5	и т п	2	19
6	до сих пор	3	19
7	с точки зрения	2	14
8	во всяком случае	2	13
9	не может быть	6	11
10	в то же	7	9
11	в самом деле	3	9
12	то же время	7	9
13	на то что	2	9
14	дело в том	2	9
15	тем не менее	6	8
16	не только в	12	8
17	к тому что	4	8
18	в данном случае	12	7
19	у нас нет	2	7
20	по отношению к	5	6
21	не только не	2	6
22	речь идет о	3	6
23	но и в	4	5
24	как раз в	3	5
25	сами по себе	2	4
26	тем или иным	2	4
27	в связи с	3	4
28	с одной стороны	5	4
29	обращает на себя	3	4
30	того или иного	3	4
31	можно сказать что	5	3
32	из этих двух	2	3
33	на себя внимание	3	3
34	в том как	2	3
35	в известном смысле	4	3
36	к тому же	8	3
37	а с другой	2	3
38	более или менее	2	3
39	состоит в том	5	3
40	что у него	2	3
41	то же самое	3	2
42	имеем дело с	4	2
43	той или иной	6	2
44	и в то	2	2
45	что это за	2	2
46	в отличие от	6	2
47	по большей части	5	2
48	в зависимости от	3	2
49	точно так же	2	2
50	внимание на то	2	2
51	вследствие того что	2	2
52	в ряде случаев	2	2
53	в этом месте	2	2
54	в свою очередь	2	2
