N	3gram	Tiupa_Hudo	Tvorches
1	в то же	7	25
2	то же время	7	24
3	в том что	8	11
4	по сути дела	3	7
5	и в то	2	7
6	в конечном счете	5	6
7	не может быть	4	6
8	в русской литературе	2	5
9	по отношению к	10	5
10	в самом деле	2	5
11	с точки зрения	3	4
12	в таком случае	2	3
13	с другой стороны	6	3
14	в отличие от	7	3
15	не сводится к	9	2
16	тем не менее	3	2
17	для того чтобы	5	2
18	можно сказать что	3	2
19	в связи с	3	2
20	том числе и	2	2
21	в известном смысле	2	2
22	в том числе	3	2
23	войне и мире	2	2
24	и в самом	3	2
25	в свою очередь	2	2
