N	3gram	Ircho_Kome	Vladivir
1	в том что	13	29
2	о том что	6	22
3	тем не менее	2	18
4	в то время	8	13
5	во всяком случае	4	12
6	в связи с	3	12
7	в конце концов	4	11
8	к тому же	12	11
9	в то же	5	10
10	вместе с тем	4	10
11	то же время	5	9
12	на этот раз	5	9
13	то что он	2	9
14	в этом смысле	2	9
15	на то что	2	8
16	в это время	3	7
17	в эти годы	2	7
18	том что он	4	6
19	можно судить по	2	6
20	в отличие от	3	6
21	с другой стороны	6	6
22	так или иначе	4	6
23	бы то ни	4	5
24	то время как	6	5
25	не говоря уже	4	5
26	что и в	2	5
27	говоря уже о	4	4
28	к этому времени	3	4
29	в этом отношении	3	4
30	можно было бы	3	4
31	с одной стороны	5	4
32	для того чтобы	3	4
33	и т д	4	4
34	что он не	2	3
35	с самого начала	2	3
36	в первую очередь	5	3
37	на себя внимание	4	3
38	в том числе	4	3
39	в этом же	2	3
40	во второй половине	3	3
41	к тому что	3	3
42	и на этот	2	2
43	за то что	4	2
44	после того как	3	2
45	едва ли можно	3	2
46	до сих пор	3	2
47	в этой области	2	2
48	то ни было	4	2
49	в тех же	3	2
50	обращает на себя	4	2
51	независимо от того	3	2
52	что у него	3	2
