N	2gram	Potebnia_M	Mirosoze
1	и в	48	97
2	может быть	46	64
3	не только	32	63
4	в этом	19	55
5	но и	30	54
6	он не	4	53
7	а не	22	53
8	в нем	16	49
9	не может	18	49
10	у него	3	47
11	и не	28	39
12	никогда не	2	38
13	потому что	82	37
14	в ней	11	37
15	не было	12	36
16	не в	24	34
17	и есть	4	33
18	для него	14	31
19	человека в	2	30
20	человеческой природы	2	30
21	не есть	24	30
22	но он	3	30
23	прежде всего	6	29
24	как и	22	29
25	но в	8	27
26	в мире	3	27
27	о человеке	5	26
28	человека и	8	26
29	и это	6	25
30	в своей	2	25
31	и все	5	24
32	у нас	2	24
33	в своем	6	23
34	что в	30	23
35	что он	8	22
36	в самом	11	21
37	в себе	26	20
38	отношение к	2	20
39	как бы	10	19
40	человек не	4	19
41	в его	6	18
42	и потому	9	17
43	того что	24	17
44	в том	47	16
45	том что	28	16
46	то что	37	16
47	было бы	16	16
48	и его	4	16
49	быть может	7	15
50	духа в	2	15
51	в этой	3	15
52	не знает	4	15
53	в котором	7	15
54	нет ничего	2	14
55	она не	4	14
56	так как	20	14
57	та же	3	13
58	друг друга	6	13
59	и на	5	13
60	это не	2	12
61	в человеке	4	12
62	к нему	7	12
63	в них	9	12
64	все это	4	12
65	но не	8	12
66	он сам	2	12
67	с тем	9	11
68	но это	9	11
69	хотя бы	3	11
70	в которой	9	11
71	только в	29	11
72	был бы	2	11
73	как в	17	11
74	уже не	11	11
75	и к	5	11
76	жизни и	3	11
77	не могут	7	10
78	для человека	8	10
79	так же	6	10
80	есть не	9	10
81	это и	2	10
82	один из	7	10
83	должна быть	2	10
84	то же	35	10
85	не имеет	10	10
86	есть и	3	9
87	бы и	4	9
88	а в	14	9
89	к тому	9	9
90	не будет	4	9
91	что и	16	9
92	образ и	6	9
93	должно быть	9	9
94	то есть	53	9
95	все что	4	9
96	есть уже	13	9
97	в свою	6	9
98	человек и	2	9
99	с ним	10	9
100	лишь в	2	9
101	вместе с	22	9
102	вопрос о	2	8
103	от него	2	8
104	в этих	2	8
105	человеке и	2	8
106	что не	12	8
107	того чтобы	5	8
108	человек должен	2	8
109	за пределы	2	8
110	тем что	13	8
111	для того	8	8
112	отношении к	3	8
113	что есть	3	8
114	нет и	2	8
115	о том	7	8
116	и с	4	8
117	уже в	10	8
118	те же	6	7
119	она есть	2	7
120	более чем	2	7
121	но если	2	7
122	что все	5	7
123	точки зрения	4	7
124	себя и	4	7
125	что она	4	7
126	что человек	4	7
127	не существует	5	7
128	все в	3	7
129	от нее	2	7
130	отношения к	2	7
131	во всем	2	7
132	чем в	2	7
133	его в	6	6
134	когда человек	3	6
135	не как	3	6
136	на пути	2	6
137	на все	3	6
138	людей и	2	6
139	увидим что	2	6
140	в ее	3	6
141	его на	3	6
142	его не	2	6
143	в образе	4	6
144	совсем не	2	6
145	должен был	2	6
146	того как	10	6
147	самого себя	3	6
148	и от	5	6
149	что это	6	6
150	к ней	7	6
151	было в	6	6
152	если бы	20	6
153	бы не	6	6
154	с этой	2	6
155	же и	3	6
