N	2gram	Vinokur_Vv	Problemy
1	и в	35	106
2	и не	13	90
3	как бы	7	70
4	может быть	30	66
5	т е	40	59
6	в его	12	56
7	в этом	35	52
8	в нем	13	51
9	не может	19	49
10	что он	5	44
11	как и	7	44
12	но и	7	40
13	точки зрения	12	40
14	и его	6	39
15	а не	5	38
16	не только	26	36
17	то же	11	36
18	то что	19	33
19	но в	10	33
20	прежде всего	10	32
21	в то	6	29
22	все это	6	29
23	не в	10	27
24	в одном	4	27
25	же время	6	26
26	к нему	3	25
27	в сущности	3	25
28	с точки	4	25
29	и т	45	25
30	в самом	13	25
31	и с	2	25
32	самом деле	7	24
33	не как	3	24
34	вовсе не	6	24
35	рядом с	2	23
36	и на	3	23
37	таким образом	21	22
38	в каждом	4	22
39	по себе	11	22
40	как мы	11	21
41	никогда не	3	20
42	все же	9	20
43	потому что	18	20
44	только в	16	20
45	что в	13	19
46	отношению к	4	19
47	что же	3	19
48	в себе	4	18
49	по отношению	4	18
50	т п	5	18
51	все эти	3	18
52	уже не	6	18
53	еще не	4	18
54	но не	9	18
55	это не	8	17
56	в том	38	17
57	так и	2	17
58	а в	6	17
59	и к	3	17
60	так же	3	16
61	в другом	3	16
62	если бы	3	16
63	в своей	4	16
64	этом смысле	11	16
65	до конца	3	15
66	и для	4	15
67	в отношении	3	14
68	так как	15	14
69	в своем	3	14
70	в конце	3	14
71	и сам	3	14
72	он и	2	14
73	как раз	4	14
74	а как	5	14
75	его в	6	13
76	и это	6	13
77	в целом	5	13
78	но все	4	13
79	том что	30	12
80	ничего не	2	12
81	так что	5	12
82	к тому	4	12
83	между тем	10	12
84	что и	5	12
85	при этом	3	12
86	было бы	7	12
87	во всяком	5	12
88	но это	2	12
89	и даже	6	12
90	и как	9	12
91	как в	3	12
92	себе и	2	12
93	отношении к	2	12
94	в котором	4	12
95	и что	6	12
96	не могут	6	11
97	в форме	2	11
98	конце концов	2	11
99	сливается с	3	11
100	так чтобы	3	11
101	этого слова	2	11
102	бы и	3	11
103	он сам	3	11
104	должно быть	2	11
105	бы в	2	11
106	тем что	6	11
107	или как	3	11
108	с другой	8	11
109	входит в	3	11
110	мы уже	2	11
111	как будто	3	11
112	отношение к	3	10
113	говорит он	2	10
114	что не	5	10
115	до сих	7	10
116	сих пор	7	10
117	лишь как	2	10
118	той же	4	10
119	в слове	3	10
120	и потому	2	9
121	могут быть	6	9
122	в них	5	9
123	хотя и	5	9
124	да и	4	9
125	другой стороны	5	9
126	хотя бы	6	9
127	всяком случае	5	9
128	в той	10	9
129	мы должны	2	8
130	но как	2	8
131	романов достоевского	2	8
132	уже в	5	8
133	одним из	5	8
134	того что	12	8
135	здесь не	3	8
136	несмотря на	2	8
137	и до	2	8
138	должна быть	2	8
139	из его	2	8
140	что это	3	8
141	все время	2	8
142	с их	5	8
143	в результате	4	8
144	о том	16	8
145	и так	2	8
146	из них	4	8
147	вопрос о	10	7
148	его к	2	7
149	в этих	3	7
150	в их	12	7
151	в виде	4	7
152	к своему	2	7
153	от себя	3	7
154	и со	2	7
155	в виду	5	7
156	и др	2	7
157	только на	3	7
158	между ними	3	7
159	что они	2	7
160	и ее	4	7
161	все равно	2	7
162	например в	2	7
163	сказать что	6	7
164	что она	3	7
165	мысли и	2	7
166	т д	39	7
167	сама по	3	7
168	во всех	2	7
169	на этот	6	7
170	если же	2	7
171	не было	2	7
172	как он	6	6
173	на вопрос	6	6
174	отличие от	4	6
175	а с	2	6
176	по существу	2	6
177	выражение в	2	6
178	не менее	9	6
179	себя в	2	6
180	должна была	2	6
181	и здесь	3	6
182	но зато	2	6
183	одна из	3	6
184	для этого	3	6
185	с этим	3	6
186	в начале	3	6
187	можно было	8	6
188	время не	2	6
189	во всем	2	6
190	зависимости от	3	6
191	и вот	3	6
192	него в	2	6
193	но ведь	4	6
194	в отличие	4	6
195	слова как	2	6
196	в этой	3	6
197	на то	2	6
198	на почве	5	6
199	в своих	2	6
200	этот вопрос	7	6
201	в которых	6	6
202	на этом	3	6
203	жизни и	2	6
204	как на	12	6
205	не мог	2	6
206	но с	5	6
207	нисколько не	3	5
208	и то	7	5
209	или иной	3	5
210	крайней мере	4	5
211	есть и	5	5
212	том же	2	5
213	по своему	5	5
214	с тем	6	5
215	тому что	2	5
216	в общем	14	5
217	того же	3	5
218	в чем	4	5
219	однако в	3	5
220	один из	6	5
221	лежит в	2	5
222	что может	3	5
223	в зависимости	3	5
224	мы не	2	5
225	той или	3	5
226	в ее	11	5
227	по крайней	4	5
228	на протяжении	2	5
229	подобно тому	2	5
230	именно в	8	5
231	а между	2	5
232	тому как	2	5
233	сам по	2	5
234	быть и	2	5
235	в ней	3	5
236	вместе с	6	5
237	бы с	2	4
238	тем не	9	4
239	в каждой	2	4
240	стороны и	3	4
241	при всей	2	4
242	от того	3	4
243	из которых	3	4
244	в формах	2	4
