N	3gram	Ircho_Kome	EvropaiC
1	в том что	13	16
2	до сих пор	3	15
3	по отношению к	5	11
4	для того чтобы	3	7
5	на то что	2	7
6	друг от друга	2	6
7	так или иначе	4	5
8	к тому же	12	5
9	тем не менее	2	4
10	с другой стороны	6	4
11	в конце концов	4	4
12	в этой области	2	4
13	о том что	6	4
14	то ни было	4	3
15	вместе с тем	4	3
16	бы то ни	4	3
17	не в состоянии	3	3
18	таким образом в	2	3
19	в связи с	3	3
20	при этом что	2	2
21	с одной стороны	5	2
22	во всяком случае	4	2
23	в то время	8	2
24	то же время	5	2
25	как и в	2	2
26	том что он	4	2
27	в то же	5	2
28	именно потому что	2	2
