N	2gram	Tiupa_Lite	Problema
1	и в	26	182
2	то есть	11	165
3	и не	19	152
4	вовсе не	3	145
5	то что	14	144
6	не есть	2	113
7	не только	29	104
8	потому что	5	89
9	в этом	19	88
10	может быть	24	82
11	том что	19	81
12	в том	22	81
13	не просто	2	80
14	только в	8	73
15	но и	25	70
16	у нас	5	68
17	также и	3	68
18	и даже	9	66
19	даже и	2	63
20	не менее	11	58
21	о том	3	57
22	так и	7	56
23	тем не	4	56
24	а не	28	56
25	но в	5	55
26	так что	4	52
27	для нас	3	50
28	отнюдь не	4	48
29	в себе	8	48
30	было бы	4	46
31	в своей	5	45
32	прежде всего	14	45
33	что в	7	44
34	в его	9	44
35	все эти	2	43
36	не в	11	43
37	таким образом	4	42
38	как раз	6	42
39	то же	13	42
40	так как	2	40
41	и то	3	40
42	что он	8	40
43	и что	2	40
44	не может	10	39
45	в этой	7	39
46	такого рода	18	39
47	и тем	4	39
48	во всяком	3	39
49	как бы	8	39
50	в стихотворении	17	38
51	в данном	7	38
52	никак не	2	37
53	хотя бы	3	37
54	того что	7	37
55	в нем	4	37
56	еще не	4	36
57	точки зрения	8	36
58	и т	2	35
59	в виду	4	34
60	и с	4	34
61	как и	13	34
62	уже не	9	34
63	не является	3	33
64	или иной	3	33
65	в то	12	32
66	едва ли	5	32
67	но не	8	32
68	в своем	12	31
69	в конце	6	31
70	связи с	7	31
71	что такое	2	31
72	но это	2	31
73	с другой	11	30
74	как мы	2	29
75	все же	6	29
76	в связи	4	29
77	данном случае	6	28
78	мы не	5	28
79	а в	5	28
80	и как	2	27
81	ничего не	3	27
82	ничего общего	2	27
83	еще и	3	26
84	по крайней	2	26
85	в результате	2	26
86	как будто	2	26
87	вместе с	5	26
88	это не	4	26
89	крайней мере	2	26
90	да и	3	26
91	другой стороны	5	26
92	и его	7	26
93	тем самым	8	25
94	с точки	4	25
95	и на	5	25
96	всяком случае	2	25
97	тем более	2	24
98	не имеет	2	24
99	с тем	2	24
100	и вполне	3	24
101	в нашем	2	24
102	а только	2	23
103	на то	2	23
104	есть не	2	23
105	при этом	23	23
106	в качестве	21	23
107	то и	5	23
108	никогда не	5	22
109	и является	2	22
110	его в	4	22
111	и есть	3	22
112	только на	3	22
113	нет ничего	2	22
114	что и	3	22
115	раз и	2	22
116	а также	5	21
117	для себя	6	21
118	в самом	4	21
119	и только	4	21
120	но как	3	20
121	для того	2	20
122	можно было	3	20
123	несмотря на	3	20
124	тем что	6	20
125	в отношении	2	19
126	то в	3	19
127	но только	3	19
