N	2gram	Nazirov_Tr	Myslijsy
1	потому что	2	182
2	то есть	3	142
3	и в	18	121
4	может быть	7	107
5	в том	2	103
6	то что	4	83
7	что в	4	73
8	и не	7	73
9	не только	8	67
10	том что	4	59
11	в этом	9	59
12	но и	4	59
13	то же	5	56
14	не в	2	54
15	в себе	4	53
16	не может	5	52
17	в душе	2	45
18	в нем	4	45
19	как и	5	42
20	так что	2	39
21	что и	2	38
22	так и	5	37
23	при этом	3	37
24	как в	3	37
25	точно так	2	35
26	тем что	2	33
27	и что	4	32
28	для него	3	28
29	то и	2	26
30	в то	5	24
31	с тем	2	23
32	как бы	7	23
33	но в	6	22
34	не имеет	2	22
35	в одном	2	20
36	это не	5	20
37	тем самым	3	19
38	и как	3	19
39	с ним	3	19
40	и то	2	19
41	что это	5	19
42	но это	4	19
43	должно быть	3	19
44	о том	2	19
45	еще не	4	18
46	не могут	2	18
47	по поводу	2	18
48	в самом	2	18
49	что я	4	18
50	в таком	2	18
51	в его	3	17
52	уже в	3	17
53	в своем	3	16
54	к тому	2	16
55	так же	4	16
56	если б	2	16
57	и на	7	16
58	что он	6	15
59	прежде всего	4	15
60	уже не	2	15
61	столь же	2	14
62	все же	5	14
63	же время	6	14
64	что все	2	13
65	и все	4	13
66	и его	6	13
67	никогда не	2	12
68	друг друга	2	12
69	все это	4	12
70	под влиянием	2	12
71	в первом	2	11
72	его в	2	11
73	к нему	3	11
74	и это	2	11
75	он не	2	10
76	и с	7	10
77	вопрос о	2	9
78	никто не	3	9
79	и даже	4	9
80	один из	3	9
81	в целом	4	9
82	что она	2	9
83	в глазах	2	8
84	но все	2	8
85	не так	2	8
86	а как	2	7
87	одном из	2	7
88	все эти	3	7
89	вряд ли	2	7
90	было в	2	7
91	в данном	2	7
92	бы и	2	7
93	этот образ	4	7
94	несмотря на	5	7
95	в образе	6	6
96	в ее	2	6
97	в этой	4	6
98	в мире	3	6
99	в виде	2	6
100	что с	3	6
101	и до	2	6
102	об этом	4	6
103	мог бы	3	6
104	у него	6	6
105	как же	2	5
106	одна из	2	5
107	отношение к	2	5
108	перед нами	2	5
109	что эти	2	5
110	но при	2	5
111	по мнению	2	5
112	и здесь	2	5
113	данном случае	2	4
114	не мог	2	4
115	ни в	2	4
116	ничего не	2	4
117	от всего	2	4
118	между этими	2	4
119	но эта	2	4
120	с его	2	4
121	имеет в	2	4
122	только о	2	4
123	с первого	2	3
124	и ее	2	3
125	отличие от	2	3
126	что этот	2	3
127	в известной	2	3
128	вместе со	2	3
129	что за	3	3
130	как будто	3	3
131	а что	2	3
132	ничем не	2	3
133	как это	3	3
134	и я	2	3
135	из своих	2	3
136	он сам	7	3
137	еще раз	2	2
138	даже на	2	2
139	по словам	2	2
140	состоит из	2	2
141	времени в	2	2
142	который в	2	2
143	только к	2	2
144	но этого	2	2
145	как у	2	2
146	раз и	2	2
147	в это	2	2
148	в глаза	2	2
149	и за	2	2
150	этим объясняется	2	2
151	о его	2	2
152	не за	2	2
153	я не	4	2
154	с ее	3	2
155	теперь и	2	2
156	его за	2	2
157	тут же	2	2
158	и сам	3	2
159	во сне	2	2
160	на меня	2	2
161	боли и	2	2
