N	2gram	Tiupa_Teor	KFilosof
1	может быть	22	45
2	в его	12	42
3	в нем	7	32
4	не может	8	29
5	и не	17	28
6	и в	24	28
7	по отношению	10	26
8	для меня	2	22
9	отношению к	10	22
10	в себе	14	21
11	и его	11	18
12	только в	9	18
13	в своем	7	17
14	в ее	6	17
15	а не	14	17
16	в этом	12	15
17	не в	9	13
18	для него	5	13
19	точки зрения	11	13
20	но не	13	12
21	и это	2	12
22	к нему	2	12
23	ни в	5	12
24	в своей	8	11
25	во всех	3	11
26	все эти	3	11
27	это не	4	10
28	в целом	4	10
29	от себя	3	10
30	и для	3	10
31	все это	2	10
32	с точки	3	10
33	в их	4	9
34	но и	14	9
35	как бы	8	9
36	себя в	7	8
37	если бы	3	8
38	лишь в	10	8
39	со стороны	6	8
40	в мире	26	8
41	в себя	5	8
42	для себя	3	7
43	и здесь	2	7
44	должен быть	2	7
45	то что	6	7
46	уже не	6	7
47	отнюдь не	3	7
48	что и	2	7
49	вовсе не	3	7
50	на основе	2	7
51	отношение к	7	6
52	мира в	3	6
53	в том	20	6
54	место в	7	6
55	я не	2	6
56	он не	5	6
57	никогда не	4	5
58	его в	4	5
59	не только	24	5
60	мы имеем	7	5
61	но как	2	5
62	то же	12	5
63	жизни в	2	5
64	еще не	6	5
65	эстетического созерцания	3	5
66	не знает	4	5
67	а в	15	5
68	но в	12	5
69	в контексте	3	5
70	как и	6	5
71	именно в	3	5
72	жизни как	5	5
73	в одном	3	5
74	себя и	2	5
75	я и	2	5
76	в основе	6	5
77	в каком	2	4
78	тем самым	6	4
79	том что	11	4
80	что в	10	4
81	могла бы	2	4
82	и т.д	4	4
83	ни было	2	4
84	времени и	2	4
85	прежде всего	3	4
86	в чем	2	4
87	здесь мы	2	4
88	мира и	4	4
89	входит в	4	4
90	ценностного центра	3	4
91	с ними	2	4
92	при этом	20	4
93	во всей	3	4
94	между тем	5	4
95	или иного	6	3
96	того или	6	3
97	в то	9	3
98	здесь не	2	3
99	человека и	2	3
100	в другом	4	3
101	это и	2	3
102	события в	2	3
103	и тем	5	3
104	для того	5	3
105	в момент	3	3
106	самом деле	2	3
107	в виду	5	3
108	к чему	2	3
109	с человеком	2	3
110	по своему	4	3
111	не менее	6	3
112	о том	2	3
113	в акте	3	3
114	в свою	4	3
115	вступает в	2	3
116	могут быть	5	3
117	этом смысле	3	3
118	во мне	2	3
119	и на	2	3
120	в данный	2	3
121	того что	5	3
122	данный момент	2	3
123	той или	3	3
124	жизни но	2	3
125	быть и	2	3
126	и то	3	2
127	чтобы не	2	2
128	в соответствии	3	2
129	мышления и	3	2
130	или иной	7	2
131	и потому	3	2
132	свою жизнь	2	2
133	в данном	9	2
134	вокруг него	2	2
135	или иным	4	2
136	сознания в	2	2
137	говорить о	4	2
138	и ее	4	2
139	автора как	2	2
140	дело в	2	2
141	то ни	2	2
142	дело не	2	2
143	включает в	2	2
144	это было	2	2
145	эстетического субъекта	2	2
146	с ее	4	2
147	тем не	3	2
148	к содержанию	3	2
149	как к	5	2
150	и как	3	2
151	в принципе	7	2
152	всей его	2	2
153	в области	7	2
154	а с	3	2
155	одного и	4	2
156	что он	4	2
157	из которых	2	2
158	вследствие этого	2	2
159	а для	2	2
160	так и	14	2
161	этом мире	2	2
162	ни к	3	2
163	отношении к	4	2
164	в жизни	3	2
165	вытекает из	2	2
166	как в	5	2
167	при условии	2	2
168	всей своей	2	2
169	тому что	2	2
170	в единое	3	2
171	оно не	2	2
172	имеем в	3	2
173	соответствии с	2	2
174	эстетическая деятельность	6	2
175	он и	2	2
176	переживание переживания	2	2
177	один из	2	2
178	по себе	2	2
179	потому что	3	2
180	не будет	3	2
181	того чтобы	5	2
182	и того	4	2
183	сводится к	12	2
184	слова в	4	2
185	не следует	4	2
186	в качестве	33	2
187	же время	8	2
188	ценностный центр	2	2
189	этого слова	4	2
190	жить и	2	2
191	в этой	3	2
192	бы то	2	2
193	ни был	2	2
194	основе своей	2	2
195	с его	6	2
