N	3gram	Losev_Prob	Tvorches
1	в то же	10	25
2	и т д	20	17
3	в том что	17	11
4	о том что	8	8
5	и в то	2	7
6	не может быть	5	6
7	по крайней мере	9	4
8	с точки зрения	9	4
9	до сих пор	4	4
10	дело в том	4	4
11	в таком случае	7	3
12	точно так же	5	3
13	это значит что	8	3
14	как и в	2	3
15	хотя и не	2	3
16	дело не в	4	3
17	с другой стороны	11	3
18	сами по себе	8	3
19	во всяком случае	8	3
20	в отличие от	2	3
21	что он не	2	2
22	на самом деле	5	2
23	тем не менее	23	2
24	потому что он	6	2
25	не только в	2	2
26	для того чтобы	4	2
27	содержит в себе	13	2
28	то есть не	5	2
29	можно сказать что	2	2
30	это уже не	2	2
31	но отнюдь не	2	2
32	не значит что	2	2
33	так и в	2	2
34	в связи с	9	2
35	в первую очередь	3	2
36	заключается в том	5	2
37	в конце концов	4	2
38	так же как	3	2
39	в медном всаднике	2	2
40	в данном случае	12	2
41	только то что	4	2
42	а может быть	2	2
43	и тут же	2	2
