N	3gram	Savitsky_E	Formalny
1	с точки зрения	16	40
2	не может быть	2	29
3	то же время	14	20
4	в то же	15	20
5	во всяком случае	3	16
6	так и в	2	11
7	в этом отношении	3	11
8	бы то ни	4	10
9	в большинстве случаев	2	9
10	с другой стороны	2	9
11	как мы видели	2	8
12	для того чтобы	5	8
13	с одной стороны	8	8
14	в применении к	3	7
15	то ни было	4	7
16	в свою очередь	2	7
17	и в этом	4	7
18	того или иного	4	7
19	в данном случае	2	6
20	и в то	8	6
21	в том что	6	6
22	прежде всего в	2	5
23	в этом смысле	3	5
24	одной стороны и	6	5
25	как бы ни	3	5
26	к тому чтобы	2	5
27	хотя бы в	2	4
28	дело идет о	2	4
29	но в то	2	3
30	друг с другом	3	3
31	нам кажется что	2	3
32	иначе обстоит дело	2	3
33	и в частности	2	3
34	и прежде всего	3	2
35	из того что	2	2
36	в отношении к	12	2
37	так же как	5	2
38	этой точки зрения	5	2
39	с этой точки	5	2
40	не говоря уже	2	2
41	или хотя бы	2	2
42	в известной степени	3	2
43	друг от друга	2	2
44	не только в	4	2
45	хотя бы и	3	2
46	между ними и	2	2
47	и со стороны	2	2
48	и притом в	2	2
