N	3gram	Ircho_Kome	Vladivir
1	в том что	15	29
2	о том что	7	22
3	тем не менее	3	18
4	в то время	3	13
5	во всяком случае	3	12
6	в связи с	3	12
7	более или менее	2	11
8	в конце концов	3	11
9	к тому же	9	11
10	в то же	11	10
11	с точки зрения	6	10
12	вместе с тем	5	10
13	то же время	11	9
14	на этот раз	2	9
15	в отличие от	3	6
16	с другой стороны	2	6
17	так или иначе	3	6
18	бы то ни	3	5
19	то время как	3	5
20	и в то	2	5
21	не говоря уже	2	5
22	само собой разумеется	3	5
23	что и в	2	5
24	говоря уже о	2	4
25	к этому времени	2	4
26	в этом отношении	2	4
27	в том же	2	4
28	с одной стороны	4	4
29	для того чтобы	8	4
30	что он не	3	3
31	с самого начала	5	3
32	потому что в	2	3
33	в первую очередь	2	3
34	на себя внимание	3	3
35	в том числе	2	3
36	в самом деле	13	3
37	собой разумеется что	3	3
38	хотя и не	2	3
39	в свою очередь	10	3
40	сих пор не	2	2
41	то обстоятельство что	3	2
42	после того как	3	2
43	но и здесь	2	2
44	и тот же	3	2
45	в ответ на	4	2
46	до сих пор	12	2
47	одной стороны и	2	2
48	и все же	2	2
49	ни в чем	2	2
50	речь шла о	2	2
51	так как он	2	2
52	в этом случае	2	2
53	то ни было	3	2
54	один и тот	3	2
55	до тех пор	5	2
56	в тех же	2	2
57	обращает на себя	3	2
