N	2gram	Vinokur_Vv	VerxiiNi
1	и в	35	26
2	таким образом	21	22
3	с тем	6	18
4	в этом	35	15
5	вместе с	6	15
6	точки зрения	12	13
7	как бы	7	12
8	в том	38	11
9	не только	26	10
10	из этих	9	10
11	и с	2	10
12	может быть	30	10
13	что в	13	9
14	так как	15	9
15	в области	4	9
16	связи с	3	9
17	но и	7	9
18	но не	9	8
19	с другой	8	8
20	в общем	14	8
21	и не	13	8
22	как на	12	8
23	но все	4	7
24	к нему	3	7
25	потому что	18	7
26	одной стороны	4	7
27	из них	4	7
28	то что	19	7
29	с одной	4	7
30	но в	10	7
31	том что	30	7
32	а с	2	7
33	в отношении	3	6
34	все же	9	6
35	к тому	4	6
36	о том	16	6
37	мы должны	2	6
38	того же	3	6
39	в себе	4	6
40	в конце	3	6
41	несмотря на	2	6
42	всяком случае	5	6
43	что и	5	6
44	с точки	4	6
45	и т.д	5	6
46	все эти	3	6
47	все это	6	6
48	и потому	2	6
49	так и	2	6
50	во всяком	5	6
51	никогда не	3	5
52	одной из	4	5
53	и для	4	5
54	не имеет	4	5
55	так же	3	5
56	и к	3	5
57	в силу	3	5
58	отношение к	3	5
59	того чтобы	22	5
60	в его	12	5
61	крайней мере	4	5
62	для того	23	5
63	а не	5	5
64	по крайней	4	5
65	сих пор	7	5
66	до сих	7	5
67	на этот	6	4
68	а в	6	4
69	в котором	4	4
70	в самом	13	4
71	в нем	13	4
72	не может	19	4
73	и тогда	3	4
74	при жизни	2	4
75	в которых	6	4
76	что оно	2	4
77	из которых	3	4
78	в виде	4	4
79	то же	11	4
80	должен был	4	4
81	и что	6	4
82	в этих	3	4
83	только в	16	4
84	что он	5	4
85	в течение	5	4
86	в этой	3	4
87	в то	6	4
88	учение о	2	4
89	что это	3	3
90	на нее	3	3
91	в своем	3	3
92	так или	4	3
93	но с	5	3
94	не вполне	4	3
95	точно так	2	3
96	или иначе	4	3
97	уже не	6	3
98	течением времени	7	3
99	хотя бы	6	3
100	к этому	3	3
101	в результате	4	3
102	с ней	2	3
103	в значительной	3	3
104	тем не	9	3
105	представляет собой	14	3
106	и даже	6	3
107	и как	9	3
108	за собой	3	3
109	если бы	3	3
110	и те	2	3
111	же как	3	3
112	при этом	3	3
113	с течением	7	3
114	конце концов	2	3
115	не менее	9	3
116	как о	4	3
117	а так	2	3
118	у них	2	3
119	в качестве	8	3
120	и при	2	3
121	с этой	5	3
122	в связи	2	3
123	и другие	2	3
124	так что	5	3
125	случае не	2	3
126	ясно что	11	3
127	можно сказать	4	3
128	отношению к	4	3
129	в одном	4	3
130	того что	12	3
131	так называемые	2	3
132	по своему	5	2
133	не исчерпывается	2	2
134	мы видели	3	2
135	одно из	5	2
136	сказать что	6	2
137	так например	6	2
138	в создании	2	2
139	но вместе	2	2
140	для этого	3	2
141	этой точки	2	2
142	о котором	8	2
143	смотреть на	5	2
144	по сравнению	4	2
145	и это	6	2
146	или иной	3	2
147	не могут	6	2
148	а также	3	2
149	на то	2	2
150	надо было	2	2
151	и сейчас	2	2
152	можно только	2	2
153	состоит в	2	2
154	одновременно и	3	2
155	мы имеем	4	2
156	мы можем	2	2
157	в начале	3	2
158	между тем	10	2
159	одним из	5	2
160	только что	4	2
161	его можно	2	2
162	в свою	2	2
163	не как	3	2
164	именно в	8	2
165	тогда когда	4	2
166	но если	6	2
167	что мы	2	2
168	в них	5	2
169	и на	3	2
170	и здесь	3	2
171	уже в	5	2
172	еще не	4	2
173	так чтобы	3	2
174	жизни и	2	2
175	иной раз	2	2
176	влечет за	2	2
177	что именно	2	2
178	не было	2	2
179	так называемой	3	2
180	этом отношении	4	2
181	виде в	2	2
182	не в	10	2
183	из него	2	2
184	той или	3	2
185	значительной мере	2	2
186	же время	6	2
187	один из	6	2
188	в виду	5	2
189	сравнению с	4	2
190	должна была	2	2
191	том виде	3	2
192	них не	2	2
193	не к	2	2
194	может ли	2	2
195	к культуре	2	2
196	без остатка	2	2
197	прежде всего	10	2
198	так называемую	2	2
199	и из	2	2
200	связана с	4	2
201	во всех	2	2
202	в разных	7	2
203	же самое	3	2
204	быть и	2	2
205	не с	3	2
206	по существу	2	2
