N	2gram	Ircho_Kome	Russkaja
1	не может	9	22
2	и не	28	19
3	в том	24	17
4	в этом	18	17
5	с другом	3	14
6	и в	37	14
7	друг с	3	14
8	то что	5	13
9	точки зрения	8	11
10	то же	14	11
11	таким образом	16	11
12	в то	14	10
13	но и	18	10
14	же время	12	10
15	не только	13	9
16	том что	22	9
17	может быть	14	9
18	в себе	4	9
19	с точки	6	9
20	во всяком	3	9
21	того чтобы	9	8
22	прежде всего	7	8
23	и с	5	7
24	к тому	11	7
25	о том	21	7
26	и если	3	7
27	не будет	2	7
28	отнюдь не	5	7
29	самом деле	13	7
30	с тем	6	6
31	если в	4	6
32	и для	7	6
33	в своих	4	6
34	и к	4	6
35	если бы	18	6
36	всяком случае	3	6
37	все это	7	6
38	для того	9	6
39	что он	15	6
40	признать что	5	6
41	в своем	9	6
42	вопрос о	2	5
43	а в	12	5
44	на то	3	5
45	в последние	2	5
46	было бы	7	5
47	хотя бы	5	5
48	из которых	7	5
49	между собой	5	5
50	и на	6	5
51	потому что	19	5
52	при этом	11	5
53	в нем	8	5
54	в своей	6	5
55	себя и	2	5
56	конечно не	4	5
57	только в	3	5
58	никогда не	5	5
59	он не	11	5
60	сих пор	12	5
61	между тем	6	5
62	во всех	4	5
63	по существу	4	5
64	до сих	12	5
65	что в	11	4
66	но не	9	4
67	его в	9	4
68	к вопросу	2	4
69	к соединению	2	4
70	все же	9	4
71	себя в	3	4
72	не могут	2	4
73	к этой	2	4
74	не в	7	4
75	как и	10	4
76	более или	2	4
77	в мире	2	4
78	как бы	7	4
79	все что	6	4
80	можно было	3	4
81	идет речь	2	4
82	приводит к	4	4
83	так как	16	4
84	что же	2	4
85	в его	12	4
86	со стороны	16	4
87	в их	5	4
88	на земле	2	4
89	то ни	4	4
90	отказаться от	3	4
91	во всем	2	4
92	в этой	7	4
93	вместе с	16	4
94	от того	2	4
95	бы то	3	4
96	или менее	2	4
97	одной из	4	3
98	да и	3	3
99	то это	5	3
100	том чтобы	4	3
101	для этого	3	3
102	этом случае	2	3
103	что для	7	3
104	надо признать	3	3
105	себя от	2	3
106	из этих	2	3
107	приходит к	2	3
108	и потому	2	3
109	в другом	2	3
110	главным образом	2	3
111	в конце	14	3
112	из них	11	3
113	но если	3	3
114	в самом	17	3
115	и как	3	3
116	в лучшем	2	3
117	несмотря на	7	3
118	что и	12	3
119	конце концов	3	3
120	из этого	2	3
121	таким же	2	3
122	и во	3	3
123	говорить о	6	3
124	и по	3	3
125	связи с	5	3
126	еще не	10	3
127	в качестве	4	3
128	что они	3	3
129	друг друга	7	3
130	в положении	2	3
131	не было	6	3
132	и т	5	3
133	тем что	12	3
134	не о	3	2
135	и о	3	2
136	любви к	5	2
137	в течение	3	2
138	даже если	2	2
139	и от	3	2
140	не так	4	2
141	с этим	5	2
142	тому что	5	2
143	к нему	8	2
144	чтобы в	3	2
145	она не	3	2
146	из всех	3	2
147	но в	7	2
148	любовь к	4	2
149	ни в	14	2
150	за нее	2	2
151	в котором	6	2
152	остается в	3	2
153	так же	8	2
154	их в	3	2
155	на себя	10	2
156	в начале	5	2
157	это в	2	2
158	людей и	2	2
159	состоит в	2	2
160	больше чем	4	2
161	в ней	7	2
162	на это	3	2
163	этот вопрос	2	2
164	в результате	2	2
165	по отношению	6	2
166	этот человек	2	2
167	даже не	5	2
168	если не	7	2
169	в силу	2	2
170	и даже	6	2
171	речь шла	2	2
172	а не	5	2
173	и тот	6	2
174	для нас	7	2
175	по этому	3	2
176	представить себе	2	2
177	от него	2	2
178	мы можем	7	2
179	нисколько не	3	2
180	целый ряд	5	2
181	речь идет	5	2
182	к себе	9	2
183	всю свою	2	2
184	пути к	2	2
185	от своей	2	2
186	разумеется что	3	2
187	в других	4	2
188	принадлежат к	2	2
189	и тем	4	2
190	и вот	3	2
191	и что	8	2
192	что с	4	2
193	том же	2	2
194	они будут	2	2
195	совершенно не	2	2
196	только для	2	2
197	а с	2	2
198	в этих	2	2
199	в частности	4	2
200	в таком	2	2
201	и есть	3	2
202	так что	7	2
203	во время	8	2
204	как будто	3	2
205	друг другу	3	2
206	на основании	3	2
207	должна быть	2	2
208	его и	3	2
209	отношения к	2	2
210	в области	3	2
211	если же	2	2
212	за то	2	2
213	с ним	10	2
214	в глазах	10	2
215	у него	10	2
216	видеть в	2	2
217	там и	3	2
218	обеих сторон	2	2
219	ясно что	12	2
