N	2gram	Bakhtin_Pr	Tragedij
1	и в	38	18
2	в романе	4	10
3	в этом	15	9
4	не только	9	8
5	и не	42	7
6	и на	3	7
7	как бы	22	7
8	и с	17	7
9	может быть	26	7
10	же время	3	6
11	что он	2	6
12	но в	4	6
13	и его	16	6
14	несмотря на	3	5
15	что это	2	5
16	все же	6	5
17	это не	5	5
18	то же	5	5
19	как и	7	5
20	в дальнейшем	3	5
21	так и	5	5
22	не может	27	5
23	в то	4	5
24	что в	7	4
25	еще не	7	4
26	в целом	3	4
27	но и	9	4
28	прежде всего	13	4
29	том что	3	4
30	и что	2	4
31	и все	3	4
32	все это	3	4
33	в нем	15	4
34	то что	8	4
35	но это	3	4
36	я не	2	4
37	и даже	3	4
38	в себе	4	4
39	и как	8	3
40	в мире	3	3
41	тем самым	4	3
42	к нему	10	3
43	в своем	5	3
44	при этом	5	3
45	в его	43	3
46	все эти	5	3
47	и он	2	3
48	отнюдь не	19	3
49	должно быть	5	3
50	как в	4	3
51	как это	2	3
52	то есть	46	3
53	с ним	5	3
54	никогда не	5	2
55	в самом	7	2
56	ивана карамазова	2	2
57	данном случае	4	2
58	по поводу	2	2
59	одна из	2	2
60	тем что	2	2
61	его в	9	2
62	не имеет	9	2
63	в виде	2	2
64	раз и	2	2
65	ничего не	6	2
66	в данном	4	2
67	не могут	2	2
68	в ее	4	2
69	что все	2	2
70	а как	3	2
71	о том	4	2
72	что и	2	2
73	ни в	11	2
74	не в	7	2
75	столь же	2	2
76	и здесь	2	2
77	в известной	3	2
78	в частности	2	2
79	в таком	3	2
80	он не	3	2
81	и ее	2	2
82	и это	3	2
83	но они	4	2
84	отличие от	5	2
85	в том	8	2
86	в отличие	5	2
87	с его	2	2
88	отношение к	10	2
