N	2gram	Savitsky_P	KulturaY
1	и т	3	143
2	т е	3	102
3	и в	14	84
4	в том	9	74
5	потому что	3	68
6	не только	17	60
7	точки зрения	3	59
8	в этом	10	57
9	было бы	6	53
10	и не	12	52
11	может быть	5	47
12	том что	4	44
13	что в	4	44
14	для того	3	41
15	хотя бы	8	37
16	с точки	3	36
17	в области	11	34
18	а не	2	33
19	если бы	4	32
20	не в	5	30
21	прежде всего	3	30
22	в его	2	30
23	и пр	5	30
24	того что	2	28
25	не менее	2	28
26	в силу	2	26
27	не может	4	25
28	то что	4	25
29	с другой	5	24
30	то же	9	23
31	только в	7	23
32	но и	6	20
33	по себе	4	20
34	но в	9	19
35	между тем	3	18
36	все это	2	18
37	в качестве	9	18
38	с тем	3	18
39	как бы	4	18
40	и с	2	18
41	это не	3	17
42	как раз	2	17
43	в русском	2	16
44	тот же	3	16
45	но не	3	16
46	и тем	2	15
47	а в	4	15
48	должно быть	2	15
49	именно в	2	15
50	не было	2	15
51	как на	2	15
52	в них	2	14
53	хотя и	3	14
54	в ней	6	14
55	между прочим	2	13
56	в пределах	8	13
57	в которых	5	13
58	для нас	2	13
59	могут быть	3	12
60	но также	4	12
61	говорить о	2	12
62	в своем	4	11
63	в нем	3	11
64	и если	4	11
65	тем самым	3	10
66	в то	7	10
67	со стороны	2	10
68	в общем	2	10
69	с этим	2	10
70	тем более	2	10
71	xix века	6	9
72	а также	4	9
73	и вот	2	9
74	что мы	3	9
75	и есть	2	9
76	в частности	2	8
77	с одной	3	8
78	и о	5	8
79	да и	2	8
80	и как	3	8
81	в статье	2	8
82	заключается в	3	8
83	отнюдь не	2	8
84	же в	4	8
85	и потому	4	7
86	одной стороны	3	7
87	с ними	3	7
88	например в	2	7
89	никак не	2	7
90	есть в	2	7
91	столь же	3	7
92	в котором	4	7
93	сводится к	3	7
94	она есть	3	6
95	в себе	3	6
96	не столько	2	6
97	в ее	2	6
98	мы не	3	6
99	же время	7	6
100	так называемые	2	6
101	главным образом	2	6
102	в сфере	2	6
103	в отношении	10	5
104	и к	4	5
105	мы должны	4	5
106	не будем	2	5
107	время в	2	5
108	переход от	2	5
109	я и	3	5
110	еще более	2	5
111	есть не	2	5
112	не о	2	4
113	в виде	2	4
114	и без	3	4
115	которое в	2	4
116	нужно было	2	4
117	по сравнению	2	4
118	е с	6	4
119	отношения к	2	4
120	не к	2	4
121	в смысле	6	4
122	и это	2	4
123	из них	2	4
124	в ряду	2	4
125	слова но	2	3
126	помнить что	2	3
127	наряду с	3	3
128	в россии	3	3
129	тех кто	4	3
130	и мы	2	3
131	именно как	2	3
132	в начале	2	3
133	если в	2	3
134	не нужно	2	3
135	более чем	2	3
136	одних и	2	3
137	потому в	2	2
138	в европе	2	2
139	г и	2	2
140	на пути	4	2
141	есть нечто	2	2
142	может и	2	2
143	культуры в	2	2
144	том числе	2	2
145	для них	2	2
146	думать что	2	2
147	было в	2	2
148	на этих	2	2
149	вслед за	3	2
150	одна из	2	2
151	большей степени	4	2
152	исключительно в	2	2
153	творчества и	2	2
154	где в	2	2
155	отношении к	5	2
156	н а	10	2
157	сами по	3	2
158	в жизни	2	2
159	точек зрения	2	2
160	в русской	4	2
161	друг другу	2	2
