N	2gram	Losev_Prob	Tragedij
1	и в	64	18
2	в этом	30	9
3	не только	37	8
4	и не	63	7
5	он сам	2	7
6	и на	11	7
7	как бы	18	7
8	и с	12	7
9	может быть	29	7
10	что он	11	6
11	но в	19	6
12	и его	3	6
13	он вдруг	2	5
14	несмотря на	6	5
15	что это	4	5
16	все же	7	5
17	это не	7	5
18	то же	10	5
19	как и	7	5
20	в дальнейшем	5	5
21	так и	17	5
22	не может	18	5
23	в то	7	5
24	он всегда	3	4
25	что в	21	4
26	еще не	18	4
27	но и	23	4
28	прежде всего	17	4
29	об этом	10	4
30	том что	26	4
31	в этой	14	4
32	и что	21	4
33	так же	12	4
34	и все	9	4
35	все это	11	4
36	в нем	14	4
37	то что	72	4
38	но это	11	4
39	и даже	19	4
40	в себе	16	4
41	один из	7	3
42	и как	10	3
43	уже в	6	3
44	тем самым	11	3
45	к нему	5	3
46	в своем	7	3
47	при этом	8	3
48	в его	12	3
49	что с	2	3
50	все эти	15	3
51	отнюдь не	15	3
52	о чем	11	3
53	и сам	3	3
54	как будто	6	3
55	никто не	2	3
56	должно быть	3	3
57	как в	5	3
58	как это	7	3
59	что вы	3	3
60	для него	2	3
61	то есть	61	3
62	в конце	13	3
63	с ним	4	3
64	никогда не	8	2
65	в самом	10	2
66	и то	15	2
67	но все	5	2
68	данном случае	10	2
69	по поводу	6	2
70	с тем	6	2
71	одна из	4	2
72	даже если	4	2
73	точно так	7	2
74	тем что	10	2
75	перед нами	7	2
76	она должна	3	2
77	вопрос о	4	2
78	его в	9	2
79	не имеет	8	2
80	в виде	20	2
81	раз и	13	2
82	ничего не	20	2
83	то и	7	2
84	в данном	16	2
85	не могут	6	2
86	как же	6	2
87	в ее	3	2
88	но эта	3	2
89	что все	9	2
90	к тому	5	2
91	говорит о	4	2
92	от всего	4	2
93	о том	25	2
94	о его	2	2
95	что и	2	2
96	ни в	13	2
97	тут же	3	2
98	не в	6	2
99	и здесь	8	2
100	потому что	24	2
101	между этими	2	2
102	что этот	2	2
103	не просто	30	2
104	в известной	2	2
105	в частности	5	2
106	только о	8	2
107	в таком	18	2
108	так что	12	2
109	он не	5	2
110	и ее	9	2
111	ничем не	2	2
112	в первом	2	2
113	бы и	5	2
114	уже не	9	2
115	из самых	3	2
116	что она	8	2
117	что эти	2	2
118	и это	13	2
119	этого романа	2	2
120	он вообще	4	2
121	в том	19	2
122	с первого	2	2
123	и до	3	2
124	но при	2	2
125	собой но	2	2
126	не был	4	2
127	еще в	2	2
128	он и	8	2
129	с его	3	2
130	он был	2	2
131	в это	2	2
132	времени в	2	2
