N	2gram	Medvedev_V	VeschiIm
1	т е	18	81
2	и не	20	57
3	не только	26	48
4	то что	7	48
5	не может	17	46
6	и в	26	45
7	и есть	5	40
8	может быть	23	39
9	и т	25	39
10	т д	16	38
11	а не	7	37
12	значит что	2	32
13	было бы	8	24
14	в себе	6	23
15	что она	2	23
16	по себе	2	23
17	только в	8	23
18	сказать что	5	22
19	что такое	2	20
20	как бы	5	20
21	и ее	4	19
22	с нею	2	19
23	но и	10	19
24	все же	6	18
25	в этом	29	18
26	прежде всего	13	17
27	что мы	2	17
28	того что	3	16
29	таким образом	32	16
30	как раз	4	16
31	в том	15	15
32	как и	7	15
33	в ней	2	15
34	не в	6	14
35	том что	8	13
36	это и	6	13
37	и для	2	13
38	в самом	4	13
39	что в	11	12
40	точки зрения	3	12
41	что и	3	12
42	что они	3	12
43	и как	3	12
44	то же	10	12
45	еще не	2	12
46	между собою	2	12
47	и даже	2	12
48	о том	10	12
49	еще и	2	11
50	в то	6	11
51	не менее	2	11
52	что не	3	11
53	вовсе не	3	11
54	и их	3	11
55	также и	2	11
56	крайней мере	2	10
57	в чем	2	10
58	что оно	3	10
59	по крайней	2	10
60	это не	7	9
61	в своем	8	9
62	она не	3	9
63	ли это	2	9
64	бы и	6	9
65	должно быть	2	9
66	хотя бы	20	9
67	бы в	3	9
68	в результате	5	9
69	у нас	3	9
70	на то	2	9
71	но не	2	9
72	ни с	2	9
73	говорить о	2	9
74	и его	6	9
75	его в	3	8
76	и потому	2	8
77	даже не	2	8
78	что он	4	8
79	но в	2	8
80	в ее	4	8
81	все это	13	8
82	должна быть	2	8
83	можно сказать	4	8
84	с другими	2	8
85	мы имеем	3	8
86	отличается от	2	8
87	если бы	3	8
88	с тем	4	8
89	в философии	4	8
90	для него	9	8
91	не с	2	8
92	с другой	11	8
93	со своим	3	8
94	отнюдь не	4	8
95	от того	2	7
96	из них	11	7
97	а в	3	7
98	можно ли	2	7
99	все эти	8	7
100	е в	2	7
101	относится к	2	7
102	никак не	3	7
103	никогда не	5	6
104	в нем	7	6
105	между ними	3	6
106	должны быть	2	6
107	в своей	4	6
108	одна из	4	6
109	можно было	2	6
110	в сфере	2	6
111	этот вопрос	3	6
112	их в	7	6
113	из себя	2	6
114	жизни и	3	6
115	и значит	2	6
116	момент в	3	6
117	в одном	5	6
118	да и	2	5
119	должен быть	4	5
120	действительности и	7	5
121	вместе с	8	5
122	как это	12	5
123	даже и	3	5
124	между прочим	2	5
125	тогда когда	2	5
126	то это	2	5
127	один из	6	5
128	в его	15	5
129	хотя и	2	5
130	необходимо и	2	5
131	на это	2	5
132	во всех	7	5
133	в которой	2	5
134	с а	2	5
135	об этом	9	5
136	как о	3	5
137	в жизни	2	5
138	нет и	3	5
139	подобно тому	3	5
140	что у	3	5
141	что для	4	5
142	вообще и	2	5
143	только не	2	5
144	тому как	3	5
145	собою и	2	5
146	чем же	4	5
147	так же	3	4
148	том как	3	4
