N	3gram	Bakhtin_Fr	DiskursI
1	в том что	4	28
2	по отношению к	3	17
3	с одной стороны	3	14
4	то же время	12	10
5	о том что	4	9
6	в то же	12	8
7	в этом отношении	3	8
8	как и в	2	7
9	так и в	3	6
10	с точки зрения	4	6
11	в значительной степени	3	5
12	с другой стороны	2	5
13	дело в том	2	5
14	в свою очередь	3	5
15	и прежде всего	2	4
16	в свое время	2	4
17	и т.п но	2	4
18	то есть в	6	3
19	более или менее	3	3
20	это прежде всего	3	3
21	в том числе	4	3
22	том числе и	2	3
23	прежде всего в	4	2
24	каждый из них	2	2
25	как мы видели	4	2
26	все то что	3	2
27	большей или меньшей	2	2
28	в предыдущей главе	2	2
29	а также и	3	2
30	в большинстве случаев	9	2
31	но и в	2	2
32	хотя и в	2	2
33	в одном из	2	2
