N	2gram	Medvedev_S	Formalny
1	и в	3	95
2	может быть	2	66
3	в этом	5	61
4	таким образом	2	52
5	в его	3	42
6	не в	3	35
7	но и	2	33
8	то же	2	32
9	истории литературы	10	31
10	не только	3	30
11	в том	5	26
12	то что	2	25
13	было бы	2	23
14	как бы	2	21
15	что в	2	21
16	все это	7	19
17	должна быть	2	18
18	только в	2	18
19	еще не	2	14
20	в результате	2	13
21	по отношению	2	12
22	отношению к	2	12
23	это и	2	11
24	по существу	2	10
25	о литературе	3	10
26	метод в	4	10
27	главным образом	2	10
28	но ведь	3	9
29	литературы и	2	9
30	развития литературы	4	8
31	том что	2	7
32	социологического метода	3	7
33	и только	3	7
34	в конце	2	6
35	в частности	2	6
36	за пределы	2	6
37	в смысле	2	6
38	к которому	2	5
39	для нас	3	5
40	в литературоведении	2	5
41	социологический метод	4	5
42	и что	2	5
43	или даже	2	4
44	очевидно что	2	4
45	конце концов	2	4
46	историка литературы	2	4
47	нужно было	2	4
48	только как	2	4
49	метод и	2	3
50	и заключается	2	3
51	исторического развития	2	3
52	тем более	2	3
53	исторической жизни	2	2
54	ведь это	2	2
55	дело не	2	2
56	далеко не	2	2
