N	3gram	Bakhtin_Fr	Psycholo
1	в том что	2	78
2	для того чтобы	5	70
3	о том что	3	34
4	с точки зрения	4	29
5	с одной стороны	4	28
6	все то что	2	23
7	до сих пор	6	23
8	не может быть	2	23
9	с другой стороны	5	20
10	на самом деле	5	17
11	мы видим что	2	16
12	во всяком случае	2	14
13	в этом отношении	4	14
14	можно было бы	2	13
15	в конце концов	3	12
16	одной и той	2	12
17	и той же	2	12
18	подобно тому как	2	11
19	по сравнению с	2	11
20	в данном случае	3	9
21	в отличие от	3	9
22	смысле этого слова	2	8
23	в свою очередь	2	7
24	можно сказать что	2	7
25	только то что	2	7
26	как и в	2	7
27	и тот же	3	6
28	не только в	3	6
29	в первый раз	2	5
30	как раз в	3	5
31	те же самые	2	5
32	таким образом все	2	5
33	один и тот	3	5
34	имеет в виду	2	4
35	в настоящее время	2	4
36	мы уже говорили	5	4
37	таким образом и	2	4
38	это и есть	2	4
39	за то что	2	4
40	вовсе не в	2	4
41	это вовсе не	2	4
42	может быть и	2	3
43	в то же	13	3
44	по отношению к	2	3
45	то же время	13	3
46	дело в том	2	3
47	мы имеем в	2	2
48	той или иной	2	2
49	как мы видели	4	2
50	и не было	2	2
51	мы уже указывали	2	2
52	все же в	2	2
53	как и все	5	2
54	но и в	4	2
55	в связи с	5	2
56	все эти три	2	2
57	в узком смысле	2	2
58	тех или иных	2	2
59	имеем в виду	2	2
60	может быть в	2	2
61	так много в	2	2
62	начала и до	7	2
63	одной стороны и	2	2
64	жизни и смерти	2	2
65	в той же	5	2
