N	3gram	Voloshinov	Problemy
1	то же время	6	26
2	в то же	6	26
3	с точки зрения	15	25
4	по отношению к	11	18
5	в этом смысле	2	16
6	на самом деле	4	15
7	не может быть	14	14
8	в большинстве случаев	5	12
9	но в то	3	11
10	в конце концов	2	11
11	до сих пор	3	10
12	с самого начала	5	9
13	в самом деле	10	9
14	во всяком случае	8	9
15	и не может	3	8
16	в его целом	2	8
17	в том что	9	8
18	бы то ни	3	7
19	как раз и	2	7
20	том что он	2	6
21	в отличие от	2	6
22	то ни было	2	6
23	сам по себе	4	5
24	в зависимости от	4	5
25	хотя бы и	2	5
26	по ту сторону	4	5
27	в высшей степени	6	5
28	и прежде всего	7	4
29	тем не менее	4	4
30	его отношение к	2	4
31	может быть и	6	4
32	о том что	3	4
33	так и в	3	4
34	а вовсе не	3	4
35	в этом отношении	4	4
36	к тому чтобы	3	4
37	все то что	3	3
38	что он сам	2	3
39	как мы видели	8	3
40	в данном случае	4	3
41	как мы уже	5	3
42	и до конца	4	3
43	точку зрения на	3	3
44	в узком смысле	2	3
45	на этот вопрос	3	3
46	выходит за пределы	2	3
47	мы увидим что	4	3
48	это вовсе не	4	3
49	можно сказать что	5	3
50	что и в	2	2
51	то же самое	2	2
52	точка зрения на	2	2
53	не укладывается в	2	2
54	можем сказать что	5	2
55	только то что	3	2
56	он не только	2	2
57	в чем не	4	2
58	если бы он	3	2
59	но в общем	3	2
60	что же касается	3	2
61	к тому что	2	2
62	а следовательно и	2	2
63	ни в чем	4	2
64	для того чтобы	3	2
65	не в силах	3	2
66	мы можем сказать	5	2
67	на всю жизнь	2	2
68	и по отношению	2	2
69	в свою очередь	4	2
