N	2gram	Propp_Morf	VerxiiNi
1	и в	17	26
2	таким образом	26	22
3	с тем	2	18
4	в этом	18	15
5	точки зрения	7	13
6	как бы	6	12
7	в том	10	11
8	не только	8	10
9	из этих	2	10
10	может быть	61	10
11	что в	10	9
12	так как	20	9
13	связи с	12	9
14	но и	9	9
15	но не	8	8
16	с другой	9	8
17	главным образом	5	8
18	и у	3	8
19	и не	16	8
20	но все	4	7
21	к нему	3	7
22	потому что	7	7
23	одной стороны	2	7
24	из них	4	7
25	то что	10	7
26	с одной	2	7
27	но в	4	7
28	том что	7	7
29	а с	2	7
30	все же	9	6
31	к тому	5	6
32	о том	6	6
33	мы должны	3	6
34	несмотря на	4	6
35	всяком случае	2	6
36	что и	10	6
37	с точки	6	6
38	все эти	5	6
39	все это	2	6
40	так и	10	6
41	во всяком	2	6
42	одной из	2	5
43	и для	4	5
44	не имеет	2	5
45	более или	2	5
46	так же	4	5
47	и к	4	5
48	того чтобы	4	5
49	для того	3	5
50	а не	11	5
51	или менее	2	5
52	на этот	2	4
53	далеко не	5	4
54	а в	8	4
55	с другими	2	4
56	не может	19	4
57	и тогда	3	4
58	в которых	2	4
59	из которых	5	4
60	целый ряд	3	4
61	в виде	3	4
62	то же	10	4
63	и что	3	4
64	и по	3	4
65	в этих	17	4
66	только в	3	4
67	что он	5	4
68	и только	3	4
69	он не	5	4
70	ничем не	2	4
71	во время	6	4
72	в этой	3	4
73	в то	4	4
74	учение о	5	4
75	что это	3	3
76	друг за	2	3
77	но с	2	3
78	если в	7	3
79	большей частью	6	3
80	точно так	2	3
81	уже не	4	3
82	хотя бы	5	3
83	к этому	4	3
84	путь к	2	3
85	в результате	8	3
86	в которой	3	3
87	тем не	7	3
88	представляет собой	17	3
89	и даже	2	3
90	связывается с	3	3
91	и как	6	3
92	что эти	3	3
93	если бы	3	3
94	в других	5	3
95	не менее	7	3
96	то с	3	3
97	в качестве	8	3
98	и при	3	3
99	с этой	3	3
100	в связи	10	3
101	и другие	6	3
102	случае не	4	3
103	ясно что	5	3
104	можно сказать	2	3
105	отношению к	7	3
106	и таким	2	3
107	в одном	2	3
108	того что	3	3
109	для него	2	3
110	по своему	2	2
111	сказать что	4	2
112	что о	2	2
113	так например	3	2
114	некоторые из	3	2
115	и заставляет	2	2
116	не могут	7	2
117	а также	7	2
118	в россии	2	2
119	на то	3	2
120	утверждать что	3	2
121	или по	2	2
122	состоит в	3	2
123	мы имеем	19	2
124	мы можем	5	2
125	в начале	3	2
126	с того	3	2
127	между тем	5	2
128	одним из	2	2
129	только что	3	2
130	благодаря этому	3	2
131	приводит к	3	2
132	в образе	6	2
133	но если	10	2
134	что мы	2	2
135	очень много	2	2
136	и здесь	7	2
137	еще не	4	2
138	к другу	2	2
139	образом если	2	2
140	что именно	2	2
141	и больше	2	2
142	превращается в	2	2
143	можно назвать	3	2
144	этом отношении	2	2
145	на пути	4	2
146	не в	3	2
147	не всегда	10	2
148	только для	2	2
149	то ни	3	2
150	ни было	2	2
151	на друга	2	2
152	один из	7	2
153	друг на	2	2
154	прежде всего	14	2
155	бы то	3	2
156	связана с	3	2
157	с его	3	2
158	во всех	6	2
159	всех других	2	2
160	вслед за	5	2
161	тем и	2	2
162	быть и	2	2
163	не с	2	2
164	по существу	13	2
