N	2gram	Vygotskiy_	Analitik
1	не только	24	71
2	и в	55	66
3	в качестве	2	61
4	но и	16	57
5	в том	50	52
6	может быть	34	52
7	в частности	6	51
8	в этом	30	51
9	как и	9	50
10	и не	19	48
11	а не	16	42
12	том что	46	40
13	при этом	11	40
14	так и	6	35
15	то есть	16	35
16	состоит в	3	30
17	представляет собой	2	30
18	не может	15	29
19	как бы	33	29
20	а в	7	28
21	в его	8	27
22	и его	10	27
23	не в	12	26
24	но не	9	26
25	в себе	13	24
26	к тому	12	22
27	и даже	4	22
28	в этой	15	22
29	что в	43	22
30	о том	24	20
31	по отношению	3	19
32	но в	7	19
33	в своей	8	19
34	то же	16	19
35	в самом	18	19
36	с его	6	19
37	в то	6	18
38	в данном	4	18
39	отношению к	2	18
40	или иной	2	17
41	с другой	12	17
42	со стороны	3	17
43	в целом	7	17
44	только в	12	17
45	могут быть	8	16
46	то что	69	16
47	в пределах	3	16
48	что и	11	16
49	не есть	4	15
50	в их	3	15
51	прежде всего	6	15
52	в сущности	14	15
53	и на	12	15
54	между тем	4	15
55	данном случае	4	14
56	отличие от	3	14
57	того же	5	14
58	той или	2	14
59	мы имеем	10	14
60	себя в	4	14
61	в отличие	3	14
62	далеко не	4	14
63	столь же	3	14
64	же время	2	14
65	в себя	2	14
66	по себе	13	13
67	ничего не	4	13
68	произведение искусства	10	13
69	точки зрения	15	13
70	как раз	19	13
71	для него	5	13
72	он не	10	13
73	тому же	4	13
74	никогда не	15	12
75	и к	5	12
76	есть не	7	12
77	как это	16	12
78	еще не	6	12
79	как в	4	12
80	в конечном	2	12
81	сводится к	7	12
82	даже в	2	11
83	в свою	3	11
84	это не	9	11
85	нуждается в	3	11
86	конечном счете	2	11
87	и как	10	11
88	не с	2	11
89	можно сказать	4	11
90	той же	6	11
91	в той	3	11
92	в конце	10	10
93	едва ли	3	10
94	все же	11	10
95	один из	9	10
96	было бы	15	10
97	с одной	15	10
98	именно в	9	10
99	отношения к	2	10
100	в своем	12	9
101	того что	12	9
102	одной стороны	15	9
103	повести белкина	2	9
104	имеет место	3	9
105	по поводу	6	9
106	другой стороны	8	9
107	во всех	6	9
108	в результате	6	9
109	только не	5	9
110	что касается	4	9
111	том чтобы	7	9
112	тому как	3	9
113	и того	2	9
114	говорит о	5	9
115	таким образом	35	9
116	вместе с	16	9
117	перед нами	5	8
118	о чем	4	8
119	что он	30	8
120	эстетический объект	3	8
121	дело с	5	8
122	одной из	2	8
123	и все	15	8
124	этом отношении	3	8
125	в основе	9	8
126	если бы	21	8
127	не является	3	8
128	времени и	5	8
129	в сторону	2	8
130	с точки	5	8
131	с ним	4	8
132	во времени	2	7
133	иное как	2	7
134	в другом	3	7
135	как говорит	6	7
136	и тем	6	7
137	от себя	2	7
138	на его	4	7
139	в ее	3	7
140	все это	8	7
141	во всяком	2	7
142	одна из	6	7
143	как нам	2	7
144	в противоположность	3	7
145	по преимуществу	2	7
146	себя и	3	7
147	художественного произведения	3	7
148	несмотря на	5	7
149	как будто	7	7
150	героя и	9	7
151	что иное	2	7
152	в глазах	2	7
153	и для	13	7
154	у него	9	7
155	и является	2	7
156	приводит к	2	7
157	со своим	2	7
158	в одном	5	7
159	внимание на	4	7
160	как мы	6	7
161	в таком	4	7
162	жизни но	3	7
163	в нашем	3	7
164	его в	2	6
165	из того	4	6
166	вопроса о	2	6
167	что не	5	6
168	не что	2	6
169	в силу	3	6
170	ли не	2	6
171	должен быть	3	6
172	казалось бы	11	6
173	не знает	2	6
174	те же	3	6
175	в нем	13	6
176	что на	6	6
177	в полной	2	6
178	ответ на	5	6
179	не будет	3	6
180	или в	6	6
181	он был	3	6
182	и то	12	6
183	хотя бы	5	6
184	могла бы	4	6
185	в сознании	2	6
186	из этих	4	6
187	превращается в	2	6
188	же в	3	6
189	во всем	3	6
190	художественное произведение	5	6
191	одного и	2	6
192	на этом	11	6
193	из которых	5	6
194	из них	7	6
195	уже в	7	6
196	по его	5	6
197	вовсе не	8	6
198	и потому	8	5
199	не могут	4	5
200	не как	3	5
201	но как	3	5
202	каждый из	2	5
203	совершенно не	11	5
204	так что	8	5
205	самом деле	17	5
206	в романе	2	5
207	в искусстве	12	5
208	а с	7	5
209	не так	4	5
210	в эту	2	5
211	он в	3	5
212	в художественном	4	5
213	в состав	3	5
214	в них	7	5
215	исходя из	7	5
216	с той	2	5
217	а затем	2	5
218	и до	4	5
219	все эти	5	5
220	мы не	8	5
221	на примере	7	5
222	этом случае	2	5
223	тот же	5	5
224	и здесь	11	5
225	да и	4	5
226	к его	2	5
227	к этому	5	5
228	и он	7	5
229	мысль о	5	5
230	в особенности	3	5
231	в новелле	5	5
232	для того	45	5
233	и их	3	5
234	в этих	3	5
235	такой же	2	5
236	тем что	8	5
237	ни в	5	5
238	в котором	5	5
239	о смерти	9	5
240	будто бы	3	5
241	с таким	2	5
242	еще в	2	5
243	что мы	12	5
244	к жизни	2	5
245	все они	2	4
246	в отношении	2	4
247	в ответ	2	4
248	в области	2	4
249	вслед за	3	4
250	в каждом	2	4
251	нам представляется	2	4
252	а как	3	4
253	были бы	3	4
254	как он	6	4
255	только на	4	4
256	в действительности	2	4
257	была бы	4	4
258	его и	2	4
259	о нем	3	4
260	и о	5	4
261	шекспира и	5	4
262	указывает на	8	4
263	и что	45	4
264	потому что	48	4
265	нам не	2	4
266	так в	4	4
267	его не	2	4
268	в известном	2	4
269	здесь в	2	4
270	того чтобы	43	4
271	и во	2	4
272	жизнь и	2	4
273	и т	12	4
274	сказать что	14	4
