N	3gram	Vinokur_St	Analitik
1	в том что	29	25
2	не может быть	5	19
3	по отношению к	3	18
4	в то же	5	16
5	о том что	19	15
6	в данном случае	7	14
7	то же время	5	14
8	к тому же	2	13
9	с одной стороны	2	9
10	с другой стороны	8	9
11	по крайней мере	2	9
12	того или иного	4	9
13	в этом отношении	13	8
14	не только в	4	8
15	как и в	2	8
16	с точки зрения	10	8
17	во всяком случае	8	7
18	в свое время	3	7
19	тем не менее	4	6
20	так или иначе	3	6
21	но и в	2	5
22	в этом случае	3	5
23	не только не	2	5
24	имеем дело с	2	5
25	в самом деле	7	4
26	том что он	6	4
27	для того чтобы	13	4
28	не в том	3	4
29	и в этом	4	4
30	в значительной степени	2	4
31	в этом смысле	2	4
32	обращает на себя	2	4
33	в первой строфе	2	4
34	бы то ни	2	3
35	и т п	11	3
36	речь идет о	3	3
37	хотя бы и	2	3
38	в том числе	3	3
39	дело не в	2	3
40	сами по себе	2	3
41	и в самом	3	3
42	дело в том	7	3
43	в зависимости от	2	3
44	и то что	2	3
45	тем или иным	3	2
46	что он не	5	2
47	в применении к	3	2
48	на этот вопрос	2	2
49	что же касается	3	2
50	более или менее	2	2
51	в равной мере	2	2
52	но в то	2	2
53	в той мере	2	2
54	в одной из	3	2
55	той мере в	2	2
56	можно было бы	8	2
57	к тому что	4	2
58	говоря уже о	2	2
59	мере в какой	3	2
60	заключается в том	4	2
61	тем более что	2	2
62	во втором случае	2	2
63	до сих пор	12	2
64	а между тем	2	2
65	в обоих случаях	2	2
66	не говоря уже	2	2
67	на то что	5	2
