N	2gram	Tiupa_Anal	NovoeSre
1	а не	16	17
2	и в	36	16
3	не может	3	16
4	нового времени	4	12
5	и не	14	11
6	что в	15	9
7	жизни и	2	8
8	в том	16	8
9	он не	9	8
10	не будет	3	7
11	может быть	19	7
12	как и	27	7
13	в этом	19	7
14	никогда не	7	6
15	лишь в	9	6
16	не в	9	6
17	не знает	2	6
18	но это	3	6
19	с его	15	6
20	не только	40	5
21	в жизни	2	5
22	все это	5	5
23	в нем	3	5
24	с ее	3	5
25	в ней	2	5
26	истории в	2	5
27	и к	7	5
28	по своему	3	4
29	в них	4	4
30	и для	4	4
31	прежде всего	7	4
32	не менее	9	4
33	не было	3	4
34	и потому	3	4
35	то что	5	4
36	о том	9	4
37	это не	4	4
38	и все	3	4
39	в мире	17	3
40	тому как	3	3
41	в прошлом	2	3
42	но и	26	3
43	к жизни	5	3
44	подобно тому	4	3
45	с другой	10	3
46	в ее	5	3
47	она не	3	3
48	к тому	10	3
49	к ее	2	3
50	жизни в	4	3
51	в своей	12	3
52	еще не	7	3
53	человека и	2	3
54	как в	9	3
55	не есть	6	3
56	за пределы	3	3
57	сказать что	2	3
58	во всех	4	3
59	это было	2	3
60	истории не	2	3
61	в основе	2	3
62	с тем	2	3
63	в одну	3	2
64	в себе	7	2
65	что она	3	2
66	все они	2	2
67	одна из	6	2
68	том чтобы	2	2
69	себя в	6	2
70	но не	13	2
71	и т.п	7	2
72	и от	3	2
73	нашего времени	5	2
74	роль в	5	2
75	в новом	5	2
76	когда мы	2	2
77	а в	17	2
78	но в	8	2
79	том что	19	2
80	и на	5	2
81	с этим	4	2
82	есть в	2	2
83	и что	2	2
84	все эти	2	2
85	я уже	2	2
86	мы не	4	2
87	можно было	2	2
88	это и	4	2
89	связаны с	2	2
90	времени в	3	2
91	в мировой	2	2
92	мира и	2	2
93	у него	2	2
94	на уровне	2	2
95	уже не	9	2
96	с их	3	2
97	как это	7	2
98	другой стороны	7	2
99	так и	19	2
100	ни к	3	2
101	такого рода	11	2
102	могут быть	4	2
103	жизни как	4	2
104	одной стороны	3	2
105	такой же	2	2
106	в то	8	2
107	который в	4	2
108	не могла	2	2
109	к содержанию	3	2
110	хотя и	4	2
111	с одной	3	2
112	место в	4	2
113	и даже	12	2
114	ведь и	2	2
115	вместе с	3	2
116	я не	3	2
