N	2gram	Losev_Vesc	EvropaiC
1	таким образом	16	34
2	в том	15	31
3	и в	44	24
4	том что	13	20
5	все эти	5	19
6	не может	44	18
7	то что	47	18
8	может быть	37	17
9	все же	18	15
10	точки зрения	10	14
11	в этом	17	13
12	все это	7	13
13	в своем	9	12
14	с этим	4	12
15	самом деле	7	12
16	но и	19	11
17	не только	48	10
18	так и	4	10
19	во всех	5	10
20	как и	15	10
21	все что	3	10
22	как бы	19	10
23	из себя	6	10
24	в результате	9	9
25	друг с	2	9
26	и не	57	9
27	не в	14	9
28	что в	11	9
29	и все	6	9
30	на то	9	9
31	с другом	2	9
32	того же	5	9
33	потому что	25	9
34	и что	22	9
35	так же	4	8
36	или менее	4	8
37	если бы	8	8
38	для того	3	8
39	к тому	3	8
40	более или	4	8
41	в самом	13	8
42	а и	13	8
43	того чтобы	4	8
44	с точки	6	8
45	мы говорили	2	8
46	ясно что	10	8
47	для этого	5	7
48	о которых	2	7
49	так как	17	7
50	в силу	4	7
51	по своей	3	7
52	что он	7	7
53	того что	16	7
54	о котором	2	7
55	не менее	11	7
56	о том	11	7
57	из этого	3	7
58	что и	11	7
59	в этой	4	7
60	по существу	3	7
61	вместе с	4	7
62	отличается от	8	6
63	только в	23	6
64	у них	2	6
65	еще не	12	6
66	так что	9	6
67	в то	11	6
68	должна быть	8	6
69	и для	13	6
70	с другой	8	6
71	и если	5	6
72	и на	2	6
73	мы можем	4	6
74	несмотря на	6	6
75	тогда как	3	6
76	при чем	2	6
77	с ним	8	6
78	и от	4	5
79	его в	8	5
80	но все	3	5
81	по сравнению	8	5
82	в себе	23	5
83	в состоянии	2	5
84	должно быть	8	5
85	к этому	2	5
86	в которой	5	5
87	как к	5	5
88	тех кто	2	5
89	на все	2	5
90	и их	11	5
91	ничем не	4	5
92	между собою	12	5
93	из них	7	5
94	что это	18	5
95	так или	5	5
96	у него	3	5
97	что все	2	5
98	далеко не	2	5
99	но в	8	5
100	именно в	2	5
101	или иначе	5	5
102	и без	4	5
103	а потому	2	5
104	и с	11	5
105	другой стороны	3	5
106	в целом	3	5
107	не будет	13	5
108	в его	5	5
109	как будто	2	5
110	сравнению с	7	5
111	быть и	5	5
112	никогда не	5	4
113	в одну	2	4
114	и то	14	4
115	самого себя	2	4
116	из того	3	4
117	мы должны	5	4
118	для меня	3	4
119	что эта	2	4
120	хотя бы	9	4
121	то ни	13	4
122	тем не	11	4
123	в конце	3	4
124	отношение к	4	4
125	и у	4	4
126	конце концов	2	4
127	состоит из	3	4
128	ее и	2	4
129	то же	12	4
130	в их	4	4
131	а с	3	4
132	в виде	3	4
133	совершенно не	11	4
134	между собой	2	4
135	что для	5	4
136	с тем	8	4
137	не так	2	4
138	в в	2	4
139	на вопрос	2	4
140	не есть	79	4
141	из которых	3	4
142	что мы	17	4
143	он не	4	4
144	это есть	8	4
145	мы сказали	2	4
146	если мы	12	4
147	признать что	2	4
148	хотя и	5	4
149	мы уже	3	4
150	то ясно	2	4
151	данном случае	2	3
152	и вообще	6	3
153	вопрос о	6	3
154	тем самым	2	3
155	при помощи	4	3
156	это не	9	3
157	что если	2	3
158	и потому	8	3
159	и до	6	3
160	тем более	3	3
161	бы в	9	3
162	но даже	3	3
163	ни было	12	3
164	от того	7	3
165	только что	2	3
166	очевидно что	2	3
167	с этой	6	3
168	но тогда	5	3
169	конечно не	2	3
170	за ними	2	3
171	во имя	3	3
172	у нас	9	3
173	прежде всего	17	3
174	жизнь и	2	3
175	с одной	3	3
176	в разных	6	3
177	что только	4	3
178	одно из	2	3
179	в жизни	5	3
180	но не	9	3
181	и это	17	3
182	в данном	6	3
183	на этой	2	3
184	а в	6	3
185	самой сущности	3	3
186	бы то	12	3
187	на почве	6	3
188	не вполне	2	3
189	в нем	6	3
190	только те	2	3
191	в ней	14	3
192	что оно	10	3
193	тогда когда	5	3
194	не то	4	3
195	для нас	2	3
196	же не	4	3
197	сказали что	2	3
198	с в	3	3
199	ближе к	2	3
200	может не	4	3
201	то очевидно	2	3
202	должны быть	6	3
203	было бы	24	3
204	и может	3	3
205	на нас	3	3
206	в истории	3	3
207	только одно	2	3
208	в с	2	3
209	во всем	2	3
210	если же	5	3
211	же как	3	3
212	и того	2	3
213	заключается в	3	3
214	тот же	4	3
215	говорить что	4	3
216	как мы	6	3
217	мы будем	3	3
218	образом и	4	2
219	только мы	2	2
220	одна из	6	2
221	веры в	2	2
222	все то	2	2
223	другими словами	9	2
224	то в	4	2
225	то и	7	2
226	независимо от	5	2
227	только то	4	2
228	но как	3	2
229	и ее	19	2
230	есть только	18	2
231	чтобы быть	3	2
232	не потому	7	2
233	то время	4	2
234	что она	23	2
235	то есть	2	2
236	в другом	3	2
237	а это	5	2
238	свою очередь	5	2
239	но если	12	2
240	на него	3	2
241	для себя	6	2
242	должен быть	5	2
243	однако это	3	2
244	как не	2	2
245	этих двух	2	2
246	в виду	2	2
247	не было	4	2
248	следовательно и	2	2
249	в частности	3	2
250	что они	12	2
251	это может	3	2
252	в одно	2	2
253	не стоит	2	2
254	для него	8	2
255	только тогда	4	2
256	всех прочих	3	2
257	мы видели	3	2
258	на нее	2	2
259	именно потому	2	2
260	есть в	4	2
261	том чтобы	2	2
262	и так	2	2
263	не имеет	2	2
264	также и	9	2
265	что у	5	2
266	тому что	2	2
267	к нему	3	2
268	она не	9	2
269	в самой	3	2
270	гораздо более	2	2
271	в котором	4	2
272	если это	4	2
273	их в	6	2
