N	3gram	Losev_Prob	Analitik
1	в том что	13	25
2	не может быть	2	19
3	по отношению к	2	18
4	в то же	2	16
5	о том что	14	15
6	той или иной	4	14
7	в данном случае	5	14
8	к тому же	5	13
9	с одной стороны	5	9
10	с другой стороны	7	9
11	по крайней мере	8	9
12	того или иного	2	9
13	в свою очередь	2	9
14	в том чтобы	2	9
15	в этом отношении	4	8
16	не только в	5	8
17	с точки зрения	13	8
18	во всяком случае	6	7
19	что иное как	3	7
20	в таком случае	2	7
21	тем не менее	8	6
22	не что иное	3	6
23	так или иначе	3	6
24	в русской литературе	3	5
25	но и в	2	5
26	в той или	2	5
27	и не в	2	4
28	том что он	3	4
29	для того чтобы	3	4
30	в том или	3	4
31	в этом смысле	4	4
32	тех или иных	2	4
33	сама по себе	2	4
34	то ни было	2	3
35	то есть в	5	3
36	бы то ни	4	3
37	то же самое	2	3
38	и как бы	2	3
39	далеко не всегда	3	3
40	сам по себе	3	3
41	все того же	2	3
42	в результате чего	2	3
43	в том числе	2	3
44	в связи с	11	3
45	можно сказать что	4	3
46	крайней мере в	3	3
47	дело в том	4	3
48	и то что	3	3
49	в коем случае	3	2
50	а с другой	3	2
51	но в то	2	2
52	ни в коем	3	2
53	можно было бы	2	2
54	говоря уже о	2	2
55	этой точки зрения	2	2
56	с этой точки	2	2
57	до сих пор	3	2
58	и прежде всего	2	2
59	не говоря уже	2	2
60	на то что	2	2
61	в сравнении с	4	2
