N	2gram	Tiupa_Vved	Vladivir
1	и в	23	116
2	то что	9	71
3	и не	24	67
4	в году	2	65
5	не только	32	65
6	у него	8	65
7	в этом	27	53
8	в том	21	52
9	том что	16	51
10	что в	6	48
11	но и	31	47
12	в конце	3	41
13	в его	9	40
14	и с	2	39
15	то есть	13	37
16	и даже	3	36
17	также и	6	36
18	потому что	7	33
19	еще и	2	32
20	что он	2	32
21	не может	14	31
22	о том	7	30
23	только в	9	30
24	никогда не	6	29
25	как мы	5	29
26	для него	5	29
27	а в	15	27
28	не было	5	26
29	в то	5	25
30	но в	14	25
31	в себе	15	25
32	а к	3	25
33	и его	9	25
34	а также	12	24
35	может быть	25	23
36	он не	6	23
37	что же	6	23
38	об этом	5	22
39	в своей	10	21
40	вместе с	2	21
41	а именно	3	20
42	в своем	9	20
43	прежде всего	11	20
44	для нас	4	20
45	и что	2	20
46	и потому	2	19
47	так и	14	19
48	не менее	4	19
49	как раз	5	19
50	по поводу	5	19
51	таким образом	6	19
52	в течение	2	19
53	тем не	3	19
54	не в	12	18
55	как это	2	18
56	как и	21	18
57	хотя и	10	18
58	не мог	2	18
59	едва ли	4	17
60	что и	6	17
61	в этой	2	17
62	у нас	4	17
63	а не	31	17
64	уже не	7	16
65	все же	10	16
66	того что	7	16
67	было бы	4	16
68	к тому	9	16
69	и все	8	16
70	для себя	2	16
71	в котором	11	16
72	не есть	2	16
73	до конца	5	15
74	но это	4	15
75	к этому	3	15
76	несмотря на	2	15
77	то же	8	15
78	в своих	5	15
79	и к	2	15
80	уже в	2	14
81	же касается	2	14
82	тут же	3	14
83	и как	2	14
84	и на	5	14
85	раз и	2	14
86	так же	2	13
87	можно сказать	6	13
88	да и	3	13
89	и от	3	13
90	что это	2	13
91	в результате	5	13
92	не просто	2	13
93	жизни и	8	13
94	на этот	2	13
95	и у	2	12
96	только на	2	12
97	ничего не	3	12
98	в нем	9	12
99	и по	3	12
100	связи с	2	12
101	во всяком	3	12
102	и это	2	12
103	по себе	2	12
104	всяком случае	3	12
105	еще в	3	11
106	или менее	2	11
107	и о	4	11
108	при этом	43	11
109	все это	3	11
110	никак не	2	11
111	в данном	22	11
112	хотя бы	2	11
113	и здесь	2	11
114	то он	2	11
115	на то	3	11
116	более или	2	11
117	тому же	6	11
118	даже в	3	10
119	такого рода	23	10
120	к нему	2	10
121	в ней	5	10
122	в качестве	18	10
123	можно было	2	10
124	еще не	8	10
125	но не	9	10
126	что для	2	10
127	в самом	6	10
128	отнюдь не	14	10
129	он и	2	10
130	здесь не	2	10
131	с ним	3	10
132	это не	7	9
133	о чем	4	9
134	и притом	3	9
135	а с	4	9
136	а только	3	9
137	своей жизни	3	9
138	в целом	4	9
139	в начале	3	9
140	этот раз	3	9
141	и сам	2	9
142	что касается	5	9
143	ни с	2	9
144	с другой	10	9
145	что мы	2	9
146	же время	4	9
147	это время	2	9
148	но он	2	9
149	отношение к	5	8
150	не столько	5	8
151	тоже не	2	8
152	в чем	2	8
153	себя в	4	8
154	как бы	8	8
155	из этих	5	8
156	и он	4	8
157	в этот	3	8
158	тем что	2	8
159	в этих	5	8
160	как в	8	8
161	и для	8	8
162	со стороны	15	8
163	к его	5	7
164	как он	2	7
165	не имеет	3	7
166	на его	2	7
167	того чтобы	2	7
168	же в	3	7
169	здесь мы	2	7
170	бы и	4	7
171	мы видели	3	7
172	то и	2	7
173	если бы	10	7
174	и вот	3	7
175	в одном	5	7
176	на первый	3	7
177	в таком	2	7
178	и есть	2	7
179	в нашем	9	7
180	в них	4	7
181	мы и	2	7
182	данном случае	15	6
183	те же	2	6
184	на себя	5	6
185	в отличие	11	6
186	к своему	2	6
187	в виду	3	6
188	отличие от	11	6
189	что на	4	6
190	тому что	2	6
