N	3gram	Voloshinov	FransuaR
1	до сих пор	3	27
2	в том что	4	27
3	с точки зрения	2	20
4	на самом деле	2	13
5	не может быть	7	13
6	дело в том	4	13
7	с одной стороны	2	13
8	с другой стороны	2	12
9	можно сказать что	5	11
10	в данном случае	2	10
11	по отношению к	11	9
12	до известной степени	2	9
13	в настоящее время	2	7
14	имеем в виду	2	6
15	то же самое	2	5
16	одной стороны и	2	5
17	это как бы	3	5
18	может быть и	3	4
19	имеет в виду	3	4
20	и не может	3	4
21	бы то ни	3	3
22	в нашем примере	7	3
23	и не в	3	3
24	отражает в себе	3	2
25	мы можем сказать	2	2
26	находит свое выражение	2	2
27	то ни было	3	2
28	мы все время	2	2
29	смысл и значение	2	2
30	и по отношению	3	2
