N	2gram	Berdyaev_N	Dialekti
1	не есть	3	181
2	и не	11	120
3	а не	17	78
4	и в	16	77
5	может быть	7	71
6	не только	5	66
7	значит что	4	61
8	то что	4	59
9	и есть	10	55
10	не может	16	53
11	и даже	2	47
12	потому что	4	45
13	ни в	6	42
14	и что	2	42
15	не имеет	4	41
16	в том	8	40
17	что такое	3	39
18	в этом	7	39
19	в себе	2	38
20	это есть	7	38
21	что она	2	38
22	том что	2	37
23	прежде всего	4	37
24	это не	4	36
25	что в	9	34
26	в нем	5	34
27	и все	4	33
28	но и	3	32
29	все это	5	31
30	сказать что	3	30
31	так и	2	29
32	как и	7	28
33	никогда не	6	27
34	не в	6	26
35	и пр	3	25
36	но это	6	24
37	в то	2	23
38	это и	2	23
39	я не	2	22
40	она не	3	21
41	должна быть	3	21
42	что все	2	20
43	о том	4	20
44	уже не	2	20
45	и с	2	20
46	как это	2	19
47	не менее	4	19
48	и это	2	19
49	не существует	3	19
50	с другой	3	18
51	хотя бы	2	18
52	жизни и	8	18
53	в основе	3	17
54	должно быть	4	17
55	в своей	3	16
56	мы не	2	16
57	конечно не	3	16
58	так же	2	15
59	хотя и	2	15
60	и мы	4	15
61	и потому	4	14
62	я уже	2	14
63	не было	4	14
64	но в	2	13
65	в ней	5	13
66	время как	2	13
67	он не	8	13
68	другой стороны	2	13
69	с ее	5	13
70	в смысле	2	13
71	и к	5	13
72	вопрос о	3	12
73	могут быть	2	12
74	еще не	3	12
75	все эти	2	12
76	а в	2	12
77	с этим	2	12
78	но не	2	12
79	быть в	2	11
80	в одну	2	11
81	мы говорим	2	11
82	в них	4	11
83	есть в	2	11
84	не значит	3	11
85	к тому	3	10
86	в ее	3	10
87	за пределы	3	10
88	это было	3	10
89	и для	4	10
90	времени и	2	10
91	как будто	2	10
92	в жизни	5	10
93	в истории	3	9
94	подобно тому	3	9
95	тому как	3	9
96	и от	2	9
97	быть может	4	9
98	же как	2	9
99	мир и	2	9
100	и на	2	9
101	не будет	7	8
102	все время	2	8
103	с одной	2	8
104	вот почему	2	8
105	но она	2	8
106	когда мы	2	8
107	нет и	2	8
108	этом смысле	2	8
109	себя в	2	8
110	как не	8	8
111	думать что	2	7
112	в религии	2	7
113	не знает	6	7
114	мира и	2	7
115	с его	6	7
116	истории и	9	7
117	как в	3	7
118	в мире	3	7
119	но для	2	7
120	с тем	3	6
121	того чтобы	2	6
122	одна из	2	6
123	для этого	2	6
124	в природе	2	6
125	нем нет	2	6
126	ни к	2	6
127	но я	2	6
128	вместе с	2	6
129	по существу	2	6
130	по своему	4	6
131	одной стороны	2	6
132	можно было	2	6
133	более не	2	6
134	с их	2	6
135	во всех	3	6
136	если нет	2	6
137	от всякого	2	6
138	свободы и	2	5
139	ли это	2	5
140	от бога	6	5
141	зависит от	2	5
142	не хотят	2	4
143	человека и	3	4
144	из ее	2	4
145	сама жизнь	2	4
146	ведь и	2	4
147	личность в	2	4
148	истории мы	2	4
149	равно как	2	4
150	к богу	2	4
151	помнить что	2	4
152	к ним	3	4
153	у него	2	4
154	такой же	2	4
155	и должно	2	4
156	к жизни	3	4
157	можно назвать	2	4
158	должен быть	5	3
159	к ее	3	3
160	я называю	2	3
161	место в	2	3
162	верить в	3	3
163	не могли	2	3
164	мысли и	2	3
165	лишь в	6	3
166	все они	2	3
167	истории не	3	3
168	нового времени	12	3
169	стремится к	3	3
170	для чего	2	3
171	совсем не	12	3
172	познания и	2	3
173	культуры и	7	3
174	не к	2	3
175	природе и	2	2
176	бытия в	2	2
177	не имеют	2	2
178	должно было	2	2
179	и формы	2	2
180	наряду с	3	2
181	роль в	2	2
182	мы живем	5	2
183	в новом	2	2
184	меня это	2	2
185	ни одна	2	2
186	и заключается	2	2
187	не могла	2	2
188	действовать и	2	2
189	призыв к	2	2
190	в эпоху	9	2
191	в духе	3	2
192	воля к	6	2
193	история в	3	2
194	и начинается	2	2
195	не во	4	2
196	новое время	4	2
197	общества и	2	2
198	духа и	3	2
199	жизни не	3	2
200	и социализм	2	2
201	от религии	2	2
202	времени в	2	2
203	смысле слова	3	2
204	мира а	2	2
205	перестает быть	4	2
206	связана с	2	2
207	жизни в	3	2
208	исторической эпохи	3	2
209	мысли в	2	2
210	может уже	2	2
211	будет и	2	2
212	эпохи и	4	2
