N	2gram	Nazirov_Vr	Komedia
1	и в	8	77
2	и не	5	47
3	в том	3	44
4	том что	3	42
5	т е	3	33
6	о том	4	33
7	но и	7	32
8	может быть	4	30
9	таким образом	2	29
10	из них	2	29
11	в то	5	28
12	и его	3	28
13	в этом	8	27
14	что он	4	26
15	не только	9	25
16	вместе с	2	25
17	как и	6	23
18	что в	7	23
19	в конце	3	21
20	а в	2	21
21	то же	5	21
22	в его	3	20
23	во время	2	19
24	к этому	3	19
25	в этой	2	18
26	тем что	3	17
27	еще не	2	17
28	в нем	6	17
29	же время	5	17
30	все же	6	16
31	у него	5	16
32	не менее	2	16
33	при этом	4	16
34	он не	3	16
35	его в	3	15
36	в своем	3	15
37	точки зрения	2	15
38	между тем	5	15
39	все это	4	14
40	об этом	5	14
41	в свою	2	14
42	и с	6	14
43	столь же	2	14
44	о чем	2	13
45	то что	7	13
46	но в	6	13
47	в них	2	13
48	как раз	2	13
49	так же	4	12
50	уже в	4	12
51	несмотря на	4	12
52	в истории	4	12
53	в начале	6	12
54	не может	2	12
55	в котором	6	12
56	наряду с	3	11
57	речь идет	3	11
58	и даже	6	11
59	с ним	4	11
60	к себе	2	10
61	отношение к	2	10
62	и все	7	10
63	в чем	3	10
64	в глазах	2	10
65	же в	2	10
66	он был	3	10
67	с его	3	10
68	тем более	2	10
69	как бы	4	10
70	и что	8	10
71	ответ на	2	9
72	в своей	2	9
73	а также	2	9
74	в ней	4	9
75	и ее	2	8
76	в в	2	8
77	место в	2	8
78	связи с	3	8
79	что у	3	8
80	не было	5	8
81	в себе	2	7
82	и у	3	7
83	мы знаем	2	7
84	и о	3	7
85	и это	2	7
86	и во	3	7
87	в связи	3	7
88	х годов	4	7
89	целый ряд	4	7
90	отнюдь не	2	7
91	для нас	4	7
92	после смерти	2	7
93	в виду	4	6
94	так в	2	6
95	и он	2	6
96	на это	2	6
97	и как	3	6
98	что к	2	6
99	человека в	3	6
100	на то	3	6
101	в своих	4	6
102	там же	2	6
103	с точки	2	6
104	не мог	2	6
105	никогда не	2	5
106	это не	4	5
107	его на	2	5
108	одним из	3	5
109	после этого	2	5
110	к ним	2	5
111	же не	2	5
112	в честь	2	5
113	в мире	2	5
114	в период	2	5
115	раз в	3	5
116	что я	2	5
117	в это	2	5
118	но он	3	5
119	по мнению	2	4
120	же как	2	4
121	одна из	2	4
122	я не	3	4
123	б и	2	4
124	далеко не	3	4
125	их в	2	4
126	с которым	2	4
127	в той	2	4
128	том же	2	3
129	в году	18	3
130	а с	2	3
131	в эту	2	3
132	его и	2	3
133	его с	2	3
134	это в	2	3
135	и уже	3	3
136	могли быть	2	3
137	отношения к	2	3
138	время и	2	3
139	в эти	2	3
140	о которой	2	3
141	г а	5	2
142	как же	2	2
143	эти годы	2	2
144	о нем	6	2
145	в известном	2	2
146	эти слова	3	2
147	рядом с	2	2
148	нашего времени	2	2
149	но это	2	2
150	этот человек	2	2
151	в этот	3	2
152	для него	2	2
153	человека с	2	2
154	об их	2	2
155	ко мне	2	2
156	на первый	2	2
