N	2gram	Kanaev_Sov	TeoriaLi
1	не только	4	24
2	и в	7	24
3	может быть	12	22
4	в том	4	20
5	при этом	3	20
6	и не	6	17
7	а в	4	15
8	а не	3	14
9	в себе	3	14
10	такого рода	2	13
11	в этом	7	12
12	то же	3	12
13	но в	3	12
14	в его	2	12
15	точки зрения	12	11
16	что в	2	10
17	не в	3	9
18	не может	17	8
19	как бы	4	8
20	или иной	2	7
21	в области	3	7
22	отличие от	2	7
23	в самом	2	7
24	в отличие	2	7
25	в нем	3	7
26	не менее	2	6
27	еще не	3	6
28	как и	6	6
29	уже не	2	6
30	приводит к	2	6
31	могут быть	2	5
32	это не	4	4
33	и т.д	3	4
34	в свою	2	4
35	в целом	4	4
36	и что	2	4
37	говорить о	2	4
38	в нашем	2	4
39	и потому	3	3
40	из этих	2	3
41	в которой	2	3
42	тем не	2	3
43	роль в	2	3
44	он должен	2	3
45	тот или	2	3
46	свою очередь	2	3
47	в таком	2	3
48	на две	3	3
49	между собой	3	3
50	с одной	2	3
51	их в	4	3
52	прежде всего	5	3
53	и к	3	3
54	отнюдь не	3	3
55	с точки	5	3
56	а на	2	3
57	все эти	5	3
58	и по	2	3
59	таким образом	11	3
60	в этой	3	3
61	в одном	3	3
62	не могут	2	2
63	каждая из	2	2
64	что она	3	2
65	отличается от	3	2
66	и даже	2	2
67	в конце	3	2
68	времени и	2	2
69	у нас	3	2
70	у него	2	2
71	самом деле	2	2
72	вместе с	4	2
73	на котором	2	2
74	что такое	2	2
75	если мы	4	2
76	на этом	2	2
77	к чему	2	2
78	о жизни	2	2
79	из которых	2	2
80	то ни	2	2
81	все это	3	2
82	в первом	3	2
83	этих двух	2	2
84	тем же	2	2
85	быть и	2	2
86	в системе	3	2
