N	2gram	Tiupa_Narr	Psycholo
1	то что	14	193
2	и в	22	190
3	в том	20	163
4	что в	6	123
5	потому что	7	114
6	том что	15	113
7	может быть	24	107
8	таким образом	5	102
9	в этом	23	100
10	то есть	15	97
11	все время	2	86
12	в самом	8	82
13	как бы	11	80
14	для того	4	78
15	того чтобы	7	78
16	что он	7	76
17	не только	50	75
18	на то	4	73
19	и не	34	73
20	что она	3	71
21	самом деле	4	70
22	и т	3	69
23	точки зрения	8	69
24	не может	16	68
25	так же	2	63
26	было бы	2	56
27	если бы	9	55
28	то же	12	54
29	о том	5	54
30	при этом	31	52
31	как и	15	51
32	что и	3	50
33	а не	27	50
34	что это	4	49
35	только в	23	46
36	в сущности	2	46
37	сказать что	5	46
38	по себе	4	46
39	к тому	13	45
40	не в	12	45
41	в этой	8	43
42	ясно что	2	43
43	никогда не	8	42
44	и все	7	42
45	вместе с	3	41
46	как это	7	40
47	но и	39	40
48	как раз	9	39
49	того что	7	39
50	т п	2	38
51	же самое	3	38
52	и как	4	36
53	вовсе не	2	34
54	и его	12	34
55	как на	2	34
56	все же	10	33
57	тому что	4	33
58	в себе	14	32
59	в ней	5	31
60	мы не	5	31
61	в его	12	31
62	он не	8	31
63	для нас	2	31
64	никак не	5	30
65	как будто	4	30
66	как в	9	30
67	с одной	5	29
68	и для	4	29
69	с точки	2	29
70	одной стороны	5	29
71	в нем	9	29
72	что мы	2	28
73	и когда	3	28
74	и то	3	28
75	мы можем	2	28
76	с другой	6	27
77	в своих	2	27
78	а в	19	27
79	и на	5	27
80	и здесь	3	25
81	только что	4	25
82	жизни и	7	25
83	до конца	2	24
84	в целом	5	24
85	до сих	3	24
86	в своем	7	23
87	сих пор	3	23
88	один из	8	23
89	и даже	4	22
90	как она	2	22
91	что у	6	22
92	казалось бы	2	22
93	между тем	5	22
94	из них	4	22
95	всякий раз	2	22
96	в своей	8	21
97	как мы	3	21
98	и вот	2	21
99	в конце	4	21
100	в котором	3	21
101	той же	2	21
102	и только	2	21
103	в двух	2	21
104	она не	2	20
105	все эти	3	20
106	в то	9	20
107	это не	6	20
108	дело с	4	20
109	мы имеем	6	20
110	другой стороны	2	20
111	в ее	4	19
112	в какой	2	19
113	у него	13	19
114	в одном	5	19
115	перед нами	9	18
116	но в	10	18
117	что с	2	18
118	но не	7	18
119	в которой	2	18
120	с этой	3	18
121	вслед за	4	18
122	можно было	2	18
123	зависимости от	3	18
124	действующих лиц	8	18
125	в виду	2	17
126	одна из	5	17
127	иначе говоря	14	17
128	только не	2	17
129	во всяком	2	17
130	у нас	4	17
131	из этих	6	17
132	но это	2	17
133	и о	4	17
134	так и	12	16
135	та же	2	16
136	не имеет	3	16
137	тому как	4	16
138	сводится к	10	16
139	говорит о	3	16
140	и к	7	16
141	и тем	9	16
142	обратиться к	2	16
143	же как	2	16
144	к этому	2	16
145	в таком	4	16
146	и потому	2	15
147	в зависимости	3	15
148	еще не	6	15
149	далеко не	6	15
150	что именно	2	15
151	только на	4	15
152	в частности	23	15
153	утверждает что	2	15
154	во всех	2	15
155	в результате	4	15
156	для него	8	15
157	не можем	2	15
158	о котором	4	15
159	не просто	2	15
160	что на	4	14
161	с той	2	14
162	заключает в	2	14
163	должна быть	2	14
164	хотя бы	4	14
165	столь же	6	14
166	с ним	6	14
167	это и	2	14
168	прежде всего	7	14
169	в области	4	14
170	бы в	2	14
171	этом отношении	5	14
172	в жизни	9	14
173	всяком случае	2	14
174	или в	7	14
175	этих двух	2	14
176	но он	2	14
177	как он	3	13
178	а с	2	13
179	могло бы	3	13
180	точка зрения	5	13
181	речь идет	3	13
182	именно в	5	13
183	отнюдь не	6	13
184	едва ли	5	13
185	со стороны	14	13
186	когда она	2	13
187	и он	8	13
188	в той	4	13
189	идет о	3	12
190	состоит в	19	12
191	того же	2	12
192	в этих	3	12
193	в рассказе	10	12
194	их в	4	12
195	характера и	3	12
196	может служить	5	12
197	в свою	4	12
198	ничего не	8	12
199	не менее	6	12
200	что не	2	12
201	например в	2	12
202	я не	5	12
203	и уже	4	12
204	об этом	8	12
205	в конечном	6	12
206	и с	3	12
207	как к	3	11
208	отличие от	6	11
209	подобно тому	4	11
210	исходя из	4	11
211	не будет	2	11
212	о смерти	2	11
213	по поводу	3	11
214	с его	6	11
215	конечном счете	4	11
216	на этот	2	11
