N	3gram	Losev_Vesc	Marksizm
1	с точки зрения	6	46
2	не может быть	22	25
3	в самом деле	7	19
4	в то же	5	15
5	то же время	4	15
6	в том что	9	14
7	бы то ни	12	12
8	то ни было	12	12
9	для того чтобы	2	11
10	в отношении к	2	8
11	с другой стороны	3	7
12	в свою очередь	5	7
13	во всяком случае	2	6
14	на то что	7	6
15	с одной стороны	3	6
16	в этом отношении	2	5
17	к тому что	2	5
18	внутреннего и внешнего	2	4
19	в первом случае	2	4
20	том что он	2	4
21	можно сказать что	3	4
22	о том что	4	4
23	в нем нет	2	4
24	но все же	2	4
25	и то же	5	3
26	в применении к	2	3
27	тем не менее	11	3
28	и не в	3	3
29	более или менее	4	3
30	в конце концов	2	3
31	друг с другом	2	3
32	а не в	2	3
33	можно было бы	3	3
34	одно и то	5	3
35	не только в	5	3
36	хотя бы и	2	3
37	и в этом	2	3
38	в той или	2	3
39	по крайней мере	10	2
40	а не только	2	2
41	от того что	4	2
42	само по себе	4	2
43	в чем же	5	2
44	так же как	2	2
45	вопрос о том	2	2
46	в данном случае	2	2
47	в том или	2	2
48	она могла бы	2	2
49	в этом и	2	2
50	сами по себе	3	2
51	хотя бы в	2	2
52	мы видели что	3	2
53	сама по себе	7	2
54	а следовательно и	2	2
55	в собственном смысле	3	2
56	а не к	2	2
57	какого бы то	2	2
58	ту или иную	3	2
59	так или иначе	5	2
60	есть прежде всего	4	2
61	в этом смысле	2	2
62	не есть вещь	4	2
63	– в смысле	3	2
64	это и есть	4	2
65	если мы возьмем	3	2
