N	2gram	Potebnia_M	Mirosoze
1	и в	58	97
2	может быть	47	64
3	не только	32	63
4	в этом	18	55
5	но и	26	54
6	он не	4	53
7	а не	38	53
8	в нем	26	49
9	не может	30	49
10	у него	3	47
11	и не	34	39
12	никогда не	7	38
13	человеческого духа	6	38
14	потому что	89	37
15	в ней	9	37
16	не было	7	36
17	не в	23	34
18	и есть	4	33
19	для него	13	31
20	человека в	3	30
21	человеческой природы	4	30
22	не есть	13	30
23	но он	3	30
24	прежде всего	8	29
25	как и	16	29
26	но в	12	27
27	в мире	3	27
28	человека и	2	26
29	и это	3	25
30	в своей	3	25
31	и все	6	24
32	переходит в	2	24
33	свободы и	3	24
34	у нас	3	24
35	в своем	3	23
36	что в	34	23
37	что он	5	22
38	в самом	5	21
39	в себе	22	20
40	как бы	12	19
41	человек не	2	19
42	в его	7	18
43	и потому	7	17
44	того что	15	17
45	в том	38	16
46	том что	21	16
47	то что	24	16
48	было бы	21	16
49	и его	7	16
50	быть может	6	15
51	в этой	3	15
52	в котором	5	15
53	нет ничего	2	14
54	она не	3	14
55	так как	29	14
56	друг друга	6	13
57	и на	8	13
58	это не	10	12
59	в человеке	14	12
60	и у	3	12
61	к нему	2	12
62	в них	7	12
63	все это	3	12
64	но не	19	12
65	с тем	9	11
66	но это	7	11
67	хотя бы	4	11
68	в которой	5	11
69	только в	36	11
70	как в	18	11
71	и для	8	11
72	уже не	4	11
73	жизни и	3	11
74	духа и	8	11
75	не могут	10	10
76	для человека	3	10
77	так же	7	10
78	есть не	7	10
79	один из	2	10
80	должна быть	4	10
81	то же	13	10
82	не имеет	9	10
83	в самой	5	10
84	а в	11	9
85	к тому	5	9
86	не будет	2	9
87	что и	16	9
88	и во	6	9
89	должно быть	9	9
90	то есть	69	9
91	все что	5	9
92	есть уже	4	9
93	в свою	8	9
94	с ним	7	9
95	лишь в	2	9
96	не мог	3	9
97	вместе с	12	9
98	вопрос о	5	8
99	ничего не	2	8
100	от него	8	8
101	в этих	10	8
102	человеке и	2	8
103	не так	6	8
104	они не	5	8
105	что не	15	8
106	того чтобы	4	8
107	с его	3	8
