N	3gram	Tiupa_Hudo	Hudozhes
1	в том что	8	24
2	по отношению к	10	17
3	то же время	7	16
4	в то же	7	16
5	к тому что	2	9
6	в самом деле	2	9
7	в конечном счете	5	8
8	так и не	4	7
9	тем не менее	3	6
10	несет в себе	3	5
11	с точки зрения	3	5
12	в свою очередь	2	5
13	не может быть	4	5
14	и в самом	3	4
15	подобно тому как	3	4
16	в связи с	3	4
17	с одной стороны	3	4
18	состоит в том	5	4
19	так или иначе	4	4
20	в значительной степени	2	4
21	того или иного	4	4
22	в русской литературе	2	3
23	как уже говорилось	2	3
24	том что он	2	3
25	для того чтобы	5	3
26	на наших глазах	2	3
27	и в то	2	3
28	бы то ни	2	2
29	себя в другом	2	2
30	до известной степени	2	2
31	в таком случае	2	2
32	роли в миропорядке	4	2
33	это своего рода	2	2
34	по своей природе	2	2
35	ту или иную	2	2
36	по сути дела	3	2
37	приводит к тому	2	2
38	в отличие от	7	2
