N	3gram	Bakhtin_KF	Marksizm
1	с точки зрения	10	46
2	не может быть	11	25
3	в то же	2	15
4	по отношению к	22	15
5	то же время	2	15
6	в том что	2	14
7	бы то ни	2	12
8	то ни было	2	12
9	на самом деле	3	6
10	той или иной	2	5
11	тем не менее	2	3
12	и тот же	3	3
13	а не в	2	3
14	не было бы	3	3
15	один и тот	3	3
16	в данный момент	3	3
17	и в этом	3	3
18	в ее целом	3	3
19	и та же	2	2
20	во всех своих	3	2
21	ничего общего не	2	2
22	но и здесь	3	2
23	одна и та	2	2
24	вопрос о том	2	2
25	она могла бы	2	2
26	между тем как	3	2
27	в его целом	10	2
28	к нему в	4	2
29	место в бытии	2	2
30	в нем и	3	2
31	в этом смысле	3	2
32	только по отношению	2	2
33	того или иного	3	2
