N	3gram	Medvedev_F	Marksizm
1	с точки зрения	17	46
2	не может быть	11	25
3	в самом деле	5	19
4	в то же	13	15
5	по отношению к	4	15
6	то же время	13	15
7	в связи с	9	14
8	в том что	3	14
9	бы то ни	4	12
10	и не может	5	12
11	в высшей степени	4	12
12	для того чтобы	3	11
13	до сих пор	7	11
14	с самого начала	2	10
15	в отличие от	2	10
16	но в то	3	9
17	как если бы	2	9
18	в большинстве случаев	5	9
19	может быть и	4	8
20	в настоящее время	11	8
21	до настоящего времени	3	7
22	смысле этого слова	4	7
23	как мы знаем	2	7
24	с другой стороны	4	7
25	в свою очередь	6	7
26	во всяком случае	6	6
27	на самом деле	7	6
28	языка и его	5	6
29	с одной стороны	5	6
30	и пр и	4	6
31	как мы видели	5	5
32	в этом отношении	7	5
33	к тому что	3	5
34	пр и пр	4	5
35	науки об идеологиях	10	5
36	и прежде всего	2	4
37	только на почве	2	4
38	у нас не	3	4
39	в зависимости от	4	4
40	но все же	2	4
41	наука об идеологиях	2	4
42	в применении к	4	3
43	тем не менее	2	3
44	и не в	2	3
45	более или менее	7	3
46	все более и	3	3
47	чем же является	2	3
48	мы ни взяли	2	3
49	и до настоящего	2	3
50	и пр но	2	3
51	в конце концов	2	3
52	между этими двумя	2	3
53	более и более	3	3
54	не могут быть	4	3
55	одной стороны и	4	3
56	сводится к тому	2	3
57	но и в	4	3
58	в значительной степени	3	3
59	и в этом	6	3
60	в ее целом	3	3
61	связи с этим	4	3
62	именно в том	2	3
63	до известной степени	3	2
64	прежде всего в	5	2
65	во всех своих	2	2
66	в широком смысле	2	2
67	так и в	6	2
68	в противном случае	2	2
69	только на основе	2	2
70	из всего этого	2	2
71	ничего общего с	2	2
72	в данном случае	2	2
73	лишь в процессе	2	2
74	социологического метода в	2	2
75	сами по себе	4	2
76	хотя бы в	4	2
77	как мы увидим	3	2
78	не следует что	2	2
79	в его целом	8	2
80	сама по себе	2	2
81	речевого общения в	2	2
82	друг от друга	2	2
83	идеалистическая философия культуры	3	2
84	как и все	2	2
85	в нем и	2	2
86	с тем что	3	2
87	мы полагаем что	3	2
88	в этом смысле	3	2
89	об идеологиях и	2	2
90	нет и не	2	2
91	дело идет о	3	2
92	того или иного	6	2
