N	2gram	Vygotskiy_	TeoriaLi
1	в качестве	12	33
2	не только	29	24
3	и в	37	24
4	в частности	8	23
5	состоит в	4	22
6	может быть	19	22
7	в том	47	20
8	при этом	6	20
9	и не	15	17
10	а в	4	15
11	но и	23	14
12	так и	12	14
13	а не	5	14
14	в себе	8	14
15	но не	6	13
16	внутренней речи	14	13
17	представляет собой	13	13
18	в этом	32	12
19	то же	12	12
20	но в	9	12
21	в его	16	12
22	том что	42	11
23	точки зрения	49	11
24	и его	10	11
25	по отношению	12	10
26	лишь в	9	10
27	отношению к	11	10
28	как это	6	10
29	что в	25	10
30	в данном	5	9
31	не в	9	9
32	с другой	16	9
33	в то	7	9
34	только в	8	9
35	не может	16	8
36	по своей	9	8
37	как бы	16	8
38	в своей	7	8
39	же время	2	8
40	или иной	3	7
41	в своем	10	7
42	мы имеем	2	7
43	в области	4	7
44	отличие от	3	7
45	в самом	16	7
46	в отличие	3	7
47	не столько	4	7
48	и т.п	5	7
49	в нем	2	7
50	тем самым	8	6
51	другой стороны	10	6
52	в первой	3	6
53	конечном счете	4	6
54	в конечном	4	6
55	со стороны	4	6
56	то что	32	6
57	как и	20	6
58	с другими	5	6
59	уже не	2	6
60	приводит к	8	6
61	между ними	2	6
62	в ее	3	6
63	в основе	9	6
64	с его	7	6
65	данном случае	5	5
66	как в	7	5
67	иначе говоря	4	5
68	ни в	6	5
69	в виду	5	5
70	и тем	8	5
71	в ходе	9	5
72	роли в	2	5
73	не является	16	5
74	для того	19	5
75	для него	5	5
76	между тем	10	5
77	могут быть	5	5
78	того чтобы	23	5
79	того что	28	5
80	он не	11	5
81	в себя	2	5
82	можно сказать	6	5
83	никогда не	8	4
84	сказать что	16	4
85	в отношении	14	4
86	это не	5	4
87	и ее	9	4
88	в другом	7	4
89	в силу	8	4
90	этого слова	7	4
91	и т.д	15	4
92	в их	5	4
93	в этих	3	4
94	что он	16	4
95	по пути	2	4
96	говоря словами	5	4
97	к тому	10	4
98	речи и	41	4
99	слова в	2	4
100	мира и	2	4
101	в свою	4	4
102	в целом	29	4
103	и что	11	4
104	говорить о	4	4
105	или даже	2	4
106	с ее	3	4
107	и сам	2	4
108	отношения к	3	4
109	в нашем	3	4
110	в слове	2	4
111	хотя и	2	4
112	даже в	4	3
113	и то	3	3
114	направленной на	2	3
115	перед нами	7	3
116	между которыми	3	3
117	мышления и	50	3
118	и потому	3	3
119	во всех	4	3
120	понятие о	2	3
121	из этих	6	3
122	одной стороны	15	3
123	о чем	2	3
124	в которой	6	3
125	в противоположность	3	3
126	и для	3	3
127	человека с	3	3
128	и как	7	3
129	если бы	10	3
130	к которому	4	3
131	или в	2	3
132	он должен	4	3
133	подобно тому	2	3
134	свою очередь	3	3
135	как говорит	2	3
136	слова как	3	3
137	с этой	7	3
138	а именно	2	3
139	на две	3	3
140	и вот	3	3
141	между собой	5	3
142	с одной	14	3
143	и др	5	3
144	а с	8	3
145	не с	2	3
146	и составляет	3	3
147	в жизни	2	3
148	для себя	7	3
149	столь же	8	3
150	их в	6	3
151	именно в	8	3
152	потому что	11	3
153	все прочие	2	3
154	тому как	3	3
155	том числе	3	3
156	что можно	4	3
157	прежде всего	12	3
158	к его	3	3
159	к действительности	13	3
160	и к	9	3
161	этом смысле	3	3
162	отнюдь не	2	3
163	только не	2	3
164	из которого	2	3
165	с точки	34	3
166	своей природе	3	3
167	все эти	6	3
168	той или	3	3
169	и по	3	3
170	в равной	2	3
171	связи с	7	3
172	человека к	4	3
173	в связи	3	3
174	таким образом	39	3
175	во всей	8	3
176	принадлежит к	2	3
177	оказывается в	2	3
178	в этой	13	3
179	в одном	5	3
180	как раз	8	3
181	вовсе не	5	3
182	в единое	2	3
183	вслед за	3	3
184	между двумя	2	3
185	одно и	2	2
186	в каком	3	2
187	ключ к	2	2
188	не могли	2	2
189	могла бы	2	2
190	значительной степени	2	2
191	идет о	5	2
192	для всех	8	2
193	так же	18	2
194	внешней речи	4	2
195	сознания в	3	2
196	с чем	2	2
197	каждая из	2	2
198	тем более	7	2
199	одну из	4	2
200	человека и	6	2
201	дело в	3	2
202	что она	6	2
203	с их	2	2
204	за пределы	4	2
205	говорит что	9	2
206	включает в	2	2
207	как уже	9	2
208	об этом	6	2
209	но на	4	2
210	и даже	5	2
211	в конце	2	2
212	сама по	3	2
213	на деле	5	2
214	превращается в	3	2
215	казалось бы	8	2
216	в значительной	2	2
217	к своему	2	2
218	у него	2	2
219	самом деле	8	2
220	говорит в	2	2
221	известном смысле	3	2
222	на вопрос	6	2
223	в чем	5	2
224	что сама	2	2
225	вместе с	14	2
226	не могло	5	2
227	в какой	5	2
228	одной из	4	2
229	вытекает из	3	2
230	и является	2	2
231	всей своей	2	2
232	числе и	3	2
233	всей его	5	2
234	а для	2	2
235	и это	3	2
236	ее в	3	2
237	тому что	6	2
238	от всех	3	2
239	о том	14	2
240	в самой	4	2
241	строго говоря	2	2
242	могли бы	10	2
243	которая в	2	2
244	если мы	8	2
245	образом и	4	2
246	должен быть	6	2
247	и на	8	2
248	не входит	2	2
249	этой точки	2	2
250	значения и	2	2
251	из тех	3	2
252	на этом	3	2
253	из которых	6	2
254	всякий раз	2	2
255	в известном	4	2
256	один из	3	2
257	внешнего мира	2	2
258	в них	5	2
259	по себе	9	2
260	что может	5	2
261	речь идет	4	2
262	единое целое	4	2
263	несмотря на	6	2
264	что и	3	2
265	ту или	2	2
266	а затем	5	2
