N	2gram	Berdyaev_N	Morfolog
1	может быть	7	61
2	и пр	3	45
3	могут быть	2	21
4	не может	16	19
5	в этом	7	18
6	и в	16	17
7	и не	11	16
8	с этим	2	14
9	прежде всего	4	14
10	по существу	2	13
11	а не	17	11
12	вопрос о	3	10
13	в том	8	10
14	то что	4	10
15	так и	2	10
16	что в	9	10
17	но и	3	9
18	с другой	3	9
19	не только	5	8
20	но не	2	8
21	а в	2	8
22	мы не	2	8
23	том что	2	7
24	наряду с	3	7
25	не менее	4	7
26	как это	2	7
27	потому что	4	7
28	это не	4	6
29	но это	6	6
30	во всех	3	6
31	подобно тому	3	6
32	о том	4	6
33	одна из	2	5
34	хотя бы	2	5
35	как в	3	5
36	к тому	3	5
37	другой стороны	2	5
38	тому как	3	5
39	все эти	2	5
40	он не	8	5
41	хотя и	2	5
42	сказать что	3	4
43	так же	2	4
44	в то	2	4
45	значит что	4	4
46	можно было	2	4
47	еще не	3	4
48	но в	2	4
49	и для	4	4
50	как и	7	4
51	ни одна	2	4
52	уже не	2	4
53	и к	5	4
54	смысле слова	3	4
55	того чтобы	2	4
56	время как	2	3
57	это было	3	3
58	не значит	3	3
59	это и	2	3
60	связана с	2	3
61	не в	6	3
62	ни в	6	3
63	что такое	3	3
64	но для	2	3
65	не существует	3	3
66	совсем не	12	3
67	можно назвать	2	3
68	и что	2	3
69	и есть	10	3
70	с его	6	3
71	в одну	2	2
72	себя в	2	2
73	в россии	3	2
74	в наши	3	2
75	одной стороны	2	2
76	и даже	2	2
77	что она	2	2
78	роль в	2	2
79	ни к	2	2
80	не означает	3	2
81	не знает	6	2
82	с одной	2	2
83	должна быть	3	2
84	с тем	3	2
85	не имеет	4	2
86	она не	3	2
87	перейти к	3	2
88	все это	5	2
89	в основе	3	2
90	у него	2	2
91	как будто	2	2
92	эти формы	3	2
93	который в	2	2
94	по своему	4	2
