N	2gram	Tiupa_Anal	VerxiiNi
1	и в	30	26
2	таким образом	5	22
3	в этом	31	15
4	вместе с	6	15
5	точки зрения	10	13
6	как бы	15	12
7	в том	36	11
8	не только	30	10
9	из этих	2	10
10	и с	2	10
11	может быть	33	10
12	что в	7	9
13	так как	3	9
14	в области	4	9
15	связи с	2	9
16	но и	29	9
17	но не	13	8
18	с другой	7	8
19	и не	33	8
20	к нему	4	7
21	потому что	3	7
22	одной стороны	6	7
23	из них	2	7
24	то что	11	7
25	с одной	7	7
26	но в	11	7
27	том что	21	7
28	а с	3	7
29	в отношении	2	6
30	все же	4	6
31	к тому	12	6
32	о том	11	6
33	мы должны	2	6
34	того же	7	6
35	в себе	17	6
36	в конце	4	6
37	несмотря на	5	6
38	что и	5	6
39	с точки	6	6
40	и т.д	4	6
41	все эти	3	6
42	все это	2	6
43	и потому	2	6
44	так и	16	6
45	никогда не	4	5
46	в мире	14	5
47	одной из	2	5
48	и для	3	5
49	более или	2	5
50	том числе	3	5
51	и к	5	5
52	в силу	4	5
53	друг с	2	5
54	отношение к	2	5
55	того чтобы	3	5
56	лишь в	12	5
57	в его	15	5
58	крайней мере	4	5
59	для того	4	5
60	с другом	2	5
61	а не	25	5
62	тому же	6	5
63	по крайней	4	5
64	или менее	2	5
65	на этот	2	4
66	что все	2	4
67	далеко не	6	4
68	а в	11	4
69	с другими	4	4
70	в котором	5	4
71	в самом	12	4
72	в нем	3	4
73	не может	26	4
74	и тогда	3	4
75	попадает в	2	4
76	то есть	19	4
77	из которых	4	4
78	то же	12	4
79	и что	2	4
80	и по	2	4
81	в этих	3	4
82	только в	8	4
83	что он	3	4
84	он не	4	4
85	в этой	12	4
86	в то	10	4
87	в рамках	5	3
88	в своем	2	3
89	если в	3	3
90	не вполне	2	3
91	или иначе	2	3
92	и если	2	3
93	уже не	6	3
94	хотя бы	4	3
95	к этому	2	3
96	в результате	3	3
97	в которой	3	3
98	тем не	3	3
99	представляет собой	23	3
100	и даже	10	3
101	связывается с	2	3
102	и как	6	3
103	если бы	6	3
104	и те	2	3
105	при этом	20	3
106	не менее	5	3
107	как о	2	3
108	в качестве	38	3
109	с этой	2	3
110	в связи	2	3
111	в таком	5	3
112	так что	3	3
113	случае не	2	3
114	и о	3	3
115	можно сказать	6	3
116	отношению к	9	3
117	в одном	3	3
118	того что	5	3
119	для него	5	3
120	одно из	2	2
121	сказать что	2	2
122	так например	2	2
123	которые в	3	2
124	для этого	2	2
125	этой точки	2	2
126	в эту	3	2
127	и является	4	2
128	из этого	2	2
129	или иной	8	2
130	не могут	3	2
131	но при	2	2
132	а также	8	2
133	на то	2	2
134	он в	5	2
135	состоит в	16	2
136	выход из	2	2
137	мы имеем	9	2
138	в процессе	2	2
139	в начале	3	2
140	свидетельствует о	4	2
141	ему в	3	2
142	вплоть до	2	2
143	между тем	7	2
144	одним из	3	2
145	особенно в	9	2
146	его можно	2	2
147	к его	3	2
148	при таком	2	2
149	не как	2	2
150	выступает в	2	2
151	из своих	2	2
152	именно в	6	2
153	отличается от	3	2
154	если не	2	2
155	приводит к	2	2
156	тогда когда	3	2
157	те же	3	2
158	что мы	3	2
159	только не	6	2
160	и особенно	4	2
161	и на	10	2
162	с целью	2	2
163	еще не	5	2
164	мысль о	2	2
165	по своей	6	2
166	все что	3	2
167	в новом	2	2
168	что именно	2	2
169	и больше	2	2
170	превращается в	3	2
171	этом отношении	5	2
172	не в	17	2
173	не всегда	4	2
174	только для	3	2
175	и наконец	2	2
176	то ни	3	2
177	ни было	4	2
178	той или	8	2
179	на все	2	2
180	и все	5	2
181	же время	7	2
182	один из	4	2
183	в виду	2	2
184	должна была	2	2
185	не к	3	2
186	может ли	2	2
187	прежде всего	8	2
188	как от	2	2
189	бы то	3	2
190	тот же	2	2
191	его от	3	2
192	с его	3	2
193	во всех	5	2
194	же самое	3	2
195	вслед за	3	2
196	взгляд на	2	2
197	и сами	2	2
198	не с	8	2
