N	3gram	Losev_Vlad	VeschiIm
1	и т д	3	38
2	не может быть	4	24
3	не что иное	2	12
4	бы то ни	2	12
5	что иное как	2	12
6	тем не менее	8	11
7	в том что	13	9
8	на то что	6	7
9	даже больше того	2	6
10	так или иначе	3	6
11	в то же	7	5
12	не только в	3	5
13	в свою очередь	2	5
14	и то что	7	5
15	более или менее	5	4
16	то время как	2	4
17	о том что	9	4
18	в то время	6	4
19	дело в том	7	4
20	то же время	7	4
21	можно сказать что	3	3
22	вместе с тем	2	3
23	так что в	2	3
24	с другой стороны	3	3
25	и в то	3	3
26	как бы его	2	2
27	как раз и	2	2
28	во всяком случае	8	2
29	что же касается	8	2
30	и в конце	2	2
31	для того чтобы	3	2
32	в этом отношении	2	2
33	том что он	4	2
34	то что он	6	2
35	в связи с	7	2
36	то что у	2	2
37	в конце концов	6	2
38	не имеет никакого	2	2
39	никакого отношения к	3	2
40	в этом смысле	4	2
41	в последние годы	2	2
42	но даже и	3	2
43	и в частности	3	2
44	в свое время	6	2
45	в том чтобы	4	2
