N	2gram	Voloshinov	EvropaiE
1	и в	13	37
2	в отношении	2	32
3	в пределах	3	25
4	точки зрения	7	23
5	что в	3	21
6	не только	6	18
7	с точки	5	17
8	хотя бы	5	15
9	то же	4	15
10	но в	4	14
11	но и	3	14
12	и не	8	14
13	в этом	2	12
14	в том	2	11
15	в их	3	11
16	в области	2	11
17	так и	3	10
18	так же	2	9
19	не может	8	9
20	в себе	3	9
21	прежде всего	9	9
22	только в	6	9
23	одной стороны	2	8
24	между тем	2	8
25	в ее	3	8
26	думать что	2	8
27	было бы	4	8
28	в своей	4	8
29	с одной	2	8
30	к тому	2	8
31	с другой	2	7
32	а также	2	7
33	как и	3	7
34	так как	3	7
35	том что	2	6
36	вслед за	2	6
37	может быть	8	6
38	с этой	2	6
39	то что	6	6
40	как бы	6	6
41	вовсе не	2	6
42	от этого	2	5
43	не в	3	5
44	в течение	2	5
45	не имеет	2	4
46	или иного	2	4
47	в процессе	5	4
48	в самом	2	4
49	мы не	4	4
50	в ней	2	4
51	несмотря на	2	4
52	не на	2	4
53	того или	2	4
54	никогда не	3	3
55	и для	3	3
56	в данном	2	3
57	в общем	2	3
58	и к	2	3
59	мы можем	4	3
60	в них	2	3
61	там где	2	3
62	и тем	2	3
63	тем что	2	3
64	не является	4	3
65	как в	2	3
66	ее в	2	3
67	данном случае	2	2
68	кажется что	2	2
69	в его	7	2
70	отношений между	2	2
71	и этот	2	2
72	и то	3	2
73	а в	2	2
74	с этим	3	2
75	мы должны	6	2
76	его на	2	2
77	в своих	2	2
78	и отчасти	2	2
79	г по	2	2
80	бы в	2	2
81	могут быть	2	2
82	другой стороны	2	2
83	на язык	2	2
84	в одном	3	2
85	мог бы	2	2
86	что же	3	2
87	есть не	2	2
88	если бы	2	2
89	а не	2	2
90	мы видим	2	2
91	и наконец	5	2
92	и все	3	2
93	таким образом	6	2
94	во всей	2	2
95	и эта	5	2
96	и наиболее	2	2
97	имеет место	2	2
