N	3gram	Losev_Prob	KulturaY
1	для того чтобы	3	38
2	с точки зрения	13	36
3	в том что	13	33
4	можно было бы	2	25
5	во всяком случае	6	19
6	тем не менее	8	19
7	с другой стороны	7	17
8	до сих пор	3	14
9	в том чтобы	2	14
10	по крайней мере	8	13
11	по отношению к	2	13
12	в связи с	11	12
13	в этом отношении	4	11
14	не может быть	2	11
15	о том что	14	10
16	в этом смысле	4	10
17	вместе с тем	5	9
18	того или иного	2	9
19	на самом деле	2	8
20	не только в	5	8
21	а с другой	3	7
22	только в том	2	7
23	после того как	3	7
24	с одной стороны	5	7
25	в свою очередь	2	7
26	в то же	2	6
27	той или иной	4	6
28	к тому же	5	6
29	только тогда когда	3	6
30	этой точки зрения	2	6
31	не говоря уже	2	6
32	но все же	2	5
33	потому что он	2	5
34	говоря уже о	2	5
35	в данном случае	5	5
36	с этой точки	2	5
37	точно так же	4	4
38	и потому что	2	4
39	сам по себе	3	4
40	том что он	3	4
41	на то что	2	4
42	так или иначе	3	4
43	в нашем смысле	4	4
44	в таком случае	2	3
45	в настоящее время	7	3
46	в то время	4	3
47	ни в какой	4	3
48	в конце концов	7	3
49	в какой мере	3	3
50	тех или иных	2	3
51	и вместе с	3	3
52	в том смысле	2	3
53	не только для	2	3
54	обратить внимание на	4	3
55	хотя бы на	2	3
56	сама по себе	2	3
57	и не в	2	3
58	и прежде всего	2	2
59	бы то ни	4	2
60	не что иное	3	2
61	то только в	2	2
62	только о том	2	2
63	потому что они	2	2
64	который в своем	3	2
65	хотя и не	3	2
66	ничего общего с	2	2
67	в том числе	2	2
68	до некоторой степени	4	2
69	что иное как	3	2
70	потому что оно	2	2
71	может быть только	6	2
72	также и в	2	2
73	мы видели выше	2	2
74	а может быть	2	2
75	можно сказать что	4	2
76	но даже и	4	2
77	в той или	2	2
78	какой мере не	3	2
