N	3gram	Voloshinov	Istorich
1	мы видим что	2	30
2	в этом случае	3	29
3	не может быть	2	24
4	вместе с тем	2	23
5	но все же	3	23
6	о том что	2	22
7	не только в	3	19
8	в связи с	2	17
9	мы видели что	2	16
10	по отношению к	2	14
11	мы увидим что	2	13
12	мы уже видели	3	13
13	как мы видели	3	12
14	но и в	3	12
15	в тех случаях	2	11
16	что иное как	2	11
17	не что иное	2	11
18	тех случаях когда	2	10
19	как мы увидим	2	9
20	то же самое	4	8
21	в зависимости от	7	8
22	на первый взгляд	2	7
23	смысле этого слова	2	7
24	с самого начала	4	6
25	для наших целей	2	5
26	на самом деле	3	5
27	для того чтобы	7	5
28	есть не что	2	5
29	должны были бы	2	5
30	можно сказать что	2	4
31	с точки зрения	5	4
32	все то что	2	3
33	и то же	5	3
34	и в области	2	3
35	и не только	2	3
36	к тому что	2	3
37	и тем самым	3	3
38	в самом деле	2	2
39	бы мы ни	3	2
40	все больше и	2	2
41	мы не знаем	2	2
42	и те же	2	2
43	больше и больше	2	2
44	не забудем что	3	2
45	одно и то	5	2
46	и той же	4	2
47	только потому что	2	2
48	одной и той	4	2
49	в свою очередь	4	2
50	равно как и	2	2
