N	2gram	Medvedev_U	FransuaR
1	и в	14	367
2	в этом	7	112
3	и не	8	101
4	таким образом	2	100
5	в его	2	98
6	прежде всего	8	92
7	не только	10	87
8	но и	4	84
9	как и	3	76
10	но в	3	75
11	в том	2	71
12	то же	5	66
13	в этой	4	65
14	и с	2	64
15	в то	3	63
16	все это	5	62
17	же время	3	55
18	только в	2	48
19	том что	2	45
20	то что	7	41
21	в самом	2	38
22	с его	2	36
23	может быть	6	35
24	в себе	2	34
25	в конце	2	32
26	для него	3	32
27	в своей	3	31
28	не может	7	29
29	не в	2	29
30	что он	2	29
31	всех этих	2	28
32	сих пор	2	27
33	до сих	2	27
34	все же	3	27
35	все они	2	26
36	в области	3	25
37	но это	2	25
38	в частности	3	24
39	но не	2	24
40	и у	2	24
41	и для	2	23
42	это не	3	23
43	в их	4	23
44	что и	2	22
45	тем что	2	22
46	одним из	2	21
47	как раз	2	20
48	этом отношении	2	20
49	самом деле	2	20
50	было бы	3	19
51	с другой	4	19
52	превращается в	2	18
53	меньшей степени	2	17
54	конечно не	4	17
55	а не	10	17
56	между тем	2	16
57	ничего не	2	16
58	мы не	2	14
59	по существу	2	14
60	что все	2	13
61	это было	2	13
62	о чем	2	13
63	у нас	3	12
64	литературы и	2	12
65	не могут	2	12
66	другой стороны	3	12
67	это уже	2	11
68	формы и	2	11
69	в системе	2	11
70	на эту	2	11
71	и т.д	3	11
72	конце концов	2	10
73	нас в	2	10
74	для всех	2	10
75	даже и	2	10
76	и то	3	9
77	но конечно	2	9
78	для этого	3	8
79	если бы	2	8
80	перестает быть	5	8
81	на первый	2	8
82	а как	2	7
83	не как	3	7
84	в некоторых	2	7
85	в искусстве	6	6
86	вряд ли	3	6
87	могут быть	2	6
88	что она	2	6
89	его и	2	6
90	хотя бы	5	6
91	не столько	2	6
92	должна быть	2	5
93	что мы	2	5
94	ни было	3	5
95	бы и	2	5
96	форму и	2	5
97	и только	5	5
98	же самое	2	5
99	но даже	2	5
100	представляется нам	2	4
101	их и	2	4
102	же не	2	4
103	не случайно	2	4
104	мы и	2	4
105	по себе	2	4
106	смысле этого	2	3
107	в художественном	5	3
108	т.е в	2	3
109	не о	3	3
110	в буквальном	2	3
111	бы то	3	3
112	и формы	3	3
113	вот почему	7	3
114	то ни	3	3
115	или иных	2	3
116	этом смысле	2	3
117	и через	2	3
118	тех или	2	3
119	не есть	2	3
120	должна была	2	2
121	материал для	2	2
122	при таком	2	2
123	формы в	3	2
124	что такое	4	2
125	если не	2	2
126	именно как	2	2
127	к сожалению	3	2
128	не приходится	2	2
129	в итоге	2	2
130	а его	2	2
131	только к	3	2
132	фактов и	2	2
133	или точнее	3	2
134	ни от	2	2
135	в сторону	2	2
136	в конечном	4	2
137	не все	2	2
138	художественном творчестве	2	2
139	конечном счете	4	2
140	а о	2	2
141	и является	2	2
